,time,sd,year,day,decade
224,1960-11-11,,1960,11,1960
225,1960-11-12,,1960,12,1960
226,1960-11-13,,1960,13,1960
227,1960-11-14,,1960,14,1960
228,1960-11-15,,1960,15,1960
229,1960-11-16,,1960,16,1960
230,1960-11-17,,1960,17,1960
231,1960-11-18,,1960,18,1960
232,1960-11-19,,1960,19,1960
233,1960-11-20,,1960,20,1960
234,1960-11-21,,1960,21,1960
235,1960-11-22,,1960,22,1960
236,1960-11-23,,1960,23,1960
237,1960-11-24,,1960,24,1960
238,1960-11-25,,1960,25,1960
239,1960-11-26,,1960,26,1960
240,1960-11-27,,1960,27,1960
241,1960-11-28,,1960,28,1960
242,1960-11-29,,1960,29,1960
243,1960-11-30,,1960,30,1960
244,1960-12-01,,1960,1,1960
245,1960-12-02,,1960,2,1960
246,1960-12-03,,1960,3,1960
247,1960-12-04,,1960,4,1960
248,1960-12-05,,1960,5,1960
249,1960-12-06,,1960,6,1960
250,1960-12-07,,1960,7,1960
251,1960-12-08,,1960,8,1960
252,1960-12-09,,1960,9,1960
253,1960-12-10,,1960,10,1960
254,1960-12-11,,1960,11,1960
255,1960-12-12,,1960,12,1960
256,1960-12-13,,1960,13,1960
257,1960-12-14,,1960,14,1960
258,1960-12-15,,1960,15,1960
259,1960-12-16,,1960,16,1960
260,1960-12-17,,1960,17,1960
261,1960-12-18,,1960,18,1960
262,1960-12-19,,1960,19,1960
263,1960-12-20,,1960,20,1960
264,1960-12-21,,1960,21,1960
265,1960-12-22,,1960,22,1960
266,1960-12-23,,1960,23,1960
267,1960-12-24,,1960,24,1960
268,1960-12-25,,1960,25,1960
269,1960-12-26,,1960,26,1960
270,1960-12-27,,1960,27,1960
271,1960-12-28,,1960,28,1960
272,1960-12-29,,1960,29,1960
273,1960-12-30,,1960,30,1960
274,1960-12-31,,1960,31,1960
275,1961-01-01,,1961,1,1960
276,1961-01-02,,1961,2,1960
277,1961-01-03,,1961,3,1960
278,1961-01-04,,1961,4,1960
279,1961-01-05,,1961,5,1960
280,1961-01-06,,1961,6,1960
281,1961-01-07,,1961,7,1960
282,1961-01-08,,1961,8,1960
283,1961-01-09,,1961,9,1960
284,1961-01-10,,1961,10,1960
285,1961-01-11,,1961,11,1960
286,1961-01-12,,1961,12,1960
287,1961-01-13,,1961,13,1960
288,1961-01-14,,1961,14,1960
289,1961-01-15,,1961,15,1960
290,1961-01-16,,1961,16,1960
291,1961-01-17,,1961,17,1960
292,1961-01-18,,1961,18,1960
293,1961-01-19,,1961,19,1960
294,1961-01-20,,1961,20,1960
295,1961-01-21,,1961,21,1960
296,1961-01-22,,1961,22,1960
297,1961-01-23,,1961,23,1960
298,1961-01-24,,1961,24,1960
299,1961-01-25,,1961,25,1960
300,1961-01-26,,1961,26,1960
301,1961-01-27,,1961,27,1960
302,1961-01-28,,1961,28,1960
303,1961-01-29,,1961,29,1960
304,1961-01-30,,1961,30,1960
305,1961-01-31,,1961,31,1960
306,1961-02-01,,1961,1,1960
307,1961-02-02,,1961,2,1960
308,1961-02-03,,1961,3,1960
309,1961-02-04,,1961,4,1960
310,1961-02-05,,1961,5,1960
311,1961-02-06,,1961,6,1960
312,1961-02-07,,1961,7,1960
313,1961-02-08,,1961,8,1960
314,1961-02-09,,1961,9,1960
315,1961-02-10,,1961,10,1960
316,1961-02-11,,1961,11,1960
317,1961-02-12,,1961,12,1960
318,1961-02-13,,1961,13,1960
319,1961-02-14,,1961,14,1960
320,1961-02-15,,1961,15,1960
321,1961-02-16,,1961,16,1960
322,1961-02-17,,1961,17,1960
323,1961-02-18,,1961,18,1960
324,1961-02-19,,1961,19,1960
325,1961-02-20,,1961,20,1960
326,1961-02-21,,1961,21,1960
327,1961-02-22,,1961,22,1960
328,1961-02-23,,1961,23,1960
329,1961-02-24,,1961,24,1960
330,1961-02-25,,1961,25,1960
331,1961-02-26,,1961,26,1960
332,1961-02-27,,1961,27,1960
333,1961-02-28,,1961,28,1960
