ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PABE: ws,0.01,0.0,-0.02 (*),0.0,0.01,-0.0,0.01,0.0,-0.0,-0.0,0.0,0.0
PABE: wspd10_12km,-0.0,0.02,-0.02 (**),0.01,-0.0,-0.0,-0.0,-0.01,-0.02,0.01,0.0,-0.02
PABE: wspd10_4km,-0.01,0.01,-0.02 (**),0.0,-0.0,-0.0,-0.0,-0.01,-0.02,0.01,0.0,-0.02
PABR: ws,0.02,0.04 (**),0.01,0.01,-0.0,0.01,0.0,-0.01,-0.01,0.04 (**),0.05 (**),0.02
PABR: wspd10_12km,-0.01,0.02,0.01,0.01,-0.01,0.01,0.01 (*),0.01,-0.0,0.05 (**),0.01,-0.01
PABR: wspd10_4km,-0.0,0.02,0.01,0.01,-0.0,0.01,0.0,0.0,-0.01,0.03 (**),0.0,-0.01
PAFA: ws,-0.0,-0.0,-0.0,0.0,-0.02 (**),-0.02 (**),-0.02 (**),-0.02 (**),-0.02 (**),-0.01 (*),0.0,0.01
PAFA: wspd10_12km,-0.01,-0.0,-0.01,0.01,-0.0,-0.0,-0.0,-0.01 (*),-0.01,-0.0,0.0,-0.0
PAFA: wspd10_4km,-0.01,-0.0,-0.0,0.01,0.0,-0.0,-0.0,-0.01 (*),-0.0,-0.0,0.0,0.0
PANC: ws,-0.04 (**),-0.05 (**),-0.01,-0.01,-0.0,-0.02 (**),-0.01 (**),-0.02 (**),-0.02 (**),-0.02 (*),-0.01,-0.01
PANC: wspd10_12km,-0.02,-0.01,-0.0,0.01,0.04 (**),-0.0,-0.01,-0.0,0.0,0.01,0.01,0.01
PANC: wspd10_4km,-0.02 (**),-0.02,0.01,0.01,0.04 (**),-0.0,-0.01 (*),0.0,0.0,0.0,0.02,0.01
