time,longitude,latitude,u10
1980-01-04 20:00:00,198.25,60.75,-9.825840367894399
1980-01-04 21:00:00,198.25,60.75,-9.107656762278806
1980-01-04 22:00:00,198.25,60.75,-8.360436083659888
1980-01-04 23:00:00,198.25,60.75,-6.926972579729035
1980-01-05 00:00:00,198.25,60.75,-6.360749656164181
1980-01-05 01:00:00,198.25,60.75,-5.729677269558565
1980-01-05 02:00:00,198.25,60.75,-5.526417758535285
1980-01-05 03:00:00,198.25,60.75,-5.154743224092713
1980-01-05 04:00:00,198.25,60.75,-4.5933598126950805
1980-01-05 05:00:00,198.25,60.75,-4.44333493551123
1980-01-05 06:00:00,198.25,60.75,-4.496569569350661
1980-01-05 07:00:00,198.25,60.75,-4.703700690107718
1980-01-05 08:00:00,198.25,60.75,-4.83339961618924
1980-01-05 09:00:00,198.25,60.75,-4.457853472012893
1980-01-05 10:00:00,198.25,60.75,-3.9835812796252372
1980-01-05 11:00:00,198.25,60.75,-2.9614763099081673
1980-01-05 12:00:00,198.25,60.75,-1.0276072478866656
1980-01-05 13:00:00,198.25,60.75,-0.09938881421368251
1980-01-05 14:00:00,198.25,60.75,1.794796248036608
1980-01-05 15:00:00,198.25,60.75,3.95031496731683
1980-01-05 16:00:00,198.25,60.75,3.7596381879283234
1980-01-05 17:00:00,198.25,60.75,2.486846487949207
1980-01-05 18:00:00,198.25,60.75,1.1424300078952196
1980-01-05 19:00:00,198.25,60.75,-0.1090678385481243
1980-01-05 20:00:00,198.25,60.75,-0.5165547630281302
1980-01-05 21:00:00,198.25,60.75,-0.6907772010480855
1980-01-05 22:00:00,198.25,60.75,-0.5668856895672287
1980-01-05 23:00:00,198.25,60.75,-0.8437057855322685
1980-01-06 00:00:00,198.25,60.75,-1.392506465295127
1980-01-06 01:00:00,198.25,60.75,-1.9761516326619766
1980-01-06 02:00:00,198.25,60.75,-2.473653483452293
1980-01-06 03:00:00,198.25,60.75,-2.7998366035229867
1980-01-06 04:00:00,198.25,60.75,-2.870493481164413
1980-01-06 05:00:00,198.25,60.75,-2.651747531206025
1980-01-06 06:00:00,198.25,60.75,-2.4872041175205117
1980-01-06 07:00:00,198.25,60.75,-2.1929617777534762
1980-01-06 08:00:00,198.25,60.75,-1.8058008043757983
1980-01-06 09:00:00,198.25,60.75,-1.4602596356362207
1980-01-06 10:00:00,198.25,60.75,-0.5117152508609095
1980-01-06 11:00:00,198.25,60.75,0.13193986737948027
1980-01-06 12:00:00,198.25,60.75,0.6371849376373504
1980-01-06 13:00:00,198.25,60.75,0.9624001552746
1980-01-06 14:00:00,198.25,60.75,1.3001981045466238
1980-01-06 15:00:00,198.25,60.75,1.6370281513852039
1980-01-06 16:00:00,198.25,60.75,1.5402379080407842
