ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PABE: precip_mm_ERA5,20.136773122821836,17.58178806606427,16.469235923381508,18.706683955207026,29.570166781741356,18.712953278411188,14.204469261468377,23.843837843350638,28.909337028026084,19.402002966188828,18.574943380802,19.820053324852584
PABE: precip_mm_ERA5_12km,20.36727123598053,18.573290967811815,15.619053506855018,15.77404623741163,22.0353736642926,18.954139451581547,19.767380765417556,21.348055289651093,27.360681964728148,13.840979876800631,16.51600037312303,20.033691461510532
PABE: precip_mm_ERA5_4km,21.54079232351958,19.844091346040514,16.62371257345964,17.132396128387878,23.689049664349138,19.314626840169602,18.490328774118648,22.23858724098723,27.684057931416053,14.3495890315716,17.790976561167177,21.50447662871617
PABR: precip_mm_ERA5,7.033719968835837,8.078659697004202,5.80355137825108,5.5061260610342,7.321907729546993,9.150117567550703,12.306521705989876,12.443550988363409,14.219776960276134,14.23826758773693,8.54595809725276,8.289344787134867
PABR: precip_mm_ERA5_12km,8.541052149764688,10.828661781355995,7.670943825566708,7.910770905859934,7.657155064056102,16.04636586894366,16.897206955588842,14.253510963092568,16.307717118744733,17.500415595779433,9.968066067447586,10.759972778775975
PABR: precip_mm_ERA5_4km,8.546440630461316,10.793566280428356,7.696057636868373,8.151877066050494,7.673347265046721,12.319762965455139,13.828424914826705,13.94458051717584,17.05300876091958,18.157720561788587,10.254542859142965,10.795910576463665
PAFA: precip_mm_ERA5,4.294676996003308,4.480220329403455,3.7672461427414055,6.618353171295711,13.60520717593084,29.750935986956787,37.02272773581115,22.476899127771162,18.580475133860276,7.4904014645411365,4.905096808422847,5.618701513695135
PAFA: precip_mm_ERA5_12km,6.678025909653242,5.833557501645115,6.914083440702751,10.290661938135953,17.247515078990364,40.06430644008454,37.87389701397257,26.140935185069416,16.9622673963418,15.45542960984909,7.993123858980293,7.248594336145456
PAFA: precip_mm_ERA5_4km,7.619203560740453,6.276752536144786,7.030294984920618,10.378033556507706,18.677280079015787,38.69330763678649,39.43514297552375,29.3597782446496,17.564445105097967,15.592536806915033,8.543036238656606,7.304420728230268
PANC: precip_mm_ERA5,51.13718756345523,37.03660954920145,33.13698007966326,27.43402208572414,20.93810764849584,23.452859904497785,37.63689993344298,43.66094257571634,53.931496843681245,57.58125458949293,48.117637729838734,59.917693415217514
PANC: precip_mm_ERA5_12km,31.366429543382843,22.810202993397493,26.410228551169336,28.34888212963608,19.250407865159637,20.814095138271085,23.05102294259411,30.307181032718965,36.1724641533446,40.81407279970966,39.057625616196894,33.53976033083719
PANC: precip_mm_ERA5_4km,26.760283191700342,21.128149028014732,22.886093770562944,26.260096120349598,21.15099894922223,23.460884786704018,26.743983744479806,32.85596147276777,38.06482276065397,36.700297362555524,31.890640798673207,29.12296879226086
