Time,precip_mm_ERA5_12km
1980-01-01,0.077
1980-01-02,0.001
1980-01-03,0.014
1980-01-04,0.017
1980-01-05,2.122
1980-01-06,6.922
1980-01-07,0.622
1980-01-08,0.268
1980-01-09,0.011
1980-01-10,0.000
1980-01-11,0.000
1980-01-12,0.000
1980-01-13,0.001
1980-01-14,0.003
1980-01-15,0.234
1980-01-16,0.217
1980-01-17,0.268
1980-01-18,1.253
1980-01-19,0.040
1980-01-20,0.217
1980-01-21,0.484
1980-01-22,6.291
1980-01-23,1.212
1980-01-24,0.005
1980-01-25,0.035
1980-01-26,0.000
1980-01-27,1.919
1980-01-28,3.360
1980-01-29,0.115
1980-01-30,0.000
1980-01-31,0.000
1980-02-01,4.193
1980-02-02,4.921
1980-02-03,0.171
1980-02-04,0.126
1980-02-05,0.188
1980-02-06,0.167
1980-02-07,0.265
1980-02-08,0.177
1980-02-09,0.018
1980-02-10,0.253
1980-02-11,0.226
1980-02-12,0.505
1980-02-13,0.001
1980-02-14,0.037
1980-02-15,0.034
1980-02-16,0.040
1980-02-17,0.041
1980-02-18,0.000
1980-02-19,0.000
1980-02-20,0.000
1980-02-21,0.002
1980-02-22,0.003
1980-02-23,0.075
1980-02-24,0.048
1980-02-25,0.050
1980-02-26,0.163
1980-02-27,0.280
1980-02-28,0.131
1980-02-29,0.000
1980-03-01,0.000
1980-03-02,0.000
1980-03-03,0.000
1980-03-04,0.008
1980-03-05,0.004
1980-03-06,0.167
1980-03-07,0.143
1980-03-08,0.123
1980-03-09,2.799
1980-03-10,1.315
1980-03-11,1.388
1980-03-12,0.587
1980-03-13,0.014
1980-03-14,0.162
1980-03-15,1.105
1980-03-16,0.675
1980-03-17,0.013
1980-03-18,0.026
1980-03-19,0.400
1980-03-20,0.000
1980-03-21,0.797
1980-03-22,0.246
1980-03-23,0.121
1980-03-24,0.000
1980-03-25,0.000
1980-03-26,0.095
1980-03-27,0.030
1980-03-28,0.002
1980-03-29,0.058
1980-03-30,0.021
1980-03-31,0.154
1980-04-01,0.112
1980-04-02,0.525
1980-04-03,0.102
1980-04-04,0.000
1980-04-05,0.000
1980-04-06,0.002
1980-04-07,0.015
1980-04-08,0.001
1980-04-09,0.001
1980-04-10,0.100
1980-04-11,0.611
1980-04-12,3.636
1980-04-13,0.025
1980-04-14,0.044
1980-04-15,0.001
1980-04-16,0.000
1980-04-17,0.015
1980-04-18,0.652
1980-04-19,0.065
1980-04-20,0.538
1980-04-21,0.007
1980-04-22,0.030
1980-04-23,0.455
1980-04-24,0.042
1980-04-25,0.000
1980-04-26,0.071
1980-04-27,0.004
1980-04-28,0.373
1980-04-29,0.005
1980-04-30,0.799
1980-05-01,1.545
1980-05-02,1.422
1980-05-03,8.858
1980-05-04,0.224
1980-05-05,0.058
1980-05-06,0.824
1980-05-07,2.448
1980-05-08,0.026
1980-05-09,0.011
1980-05-10,0.192
1980-05-11,0.559
1980-05-12,0.178
1980-05-13,0.000
1980-05-14,0.000
1980-05-15,0.005
1980-05-16,0.000
1980-05-17,1.302
1980-05-18,0.045
1980-05-19,0.029
1980-05-20,0.757
1980-05-21,1.371
1980-05-22,1.342
1980-05-23,4.331
1980-05-24,0.001
1980-05-25,0.060
1980-05-26,0.000
1980-05-27,0.082
1980-05-28,0.064
1980-05-29,7.469
1980-05-30,0.610
1980-05-31,5.227
1980-06-01,2.091
1980-06-02,0.372
1980-06-03,1.404
1980-06-04,0.246
1980-06-05,0.000
1980-06-06,0.000
1980-06-07,0.860
1980-06-08,0.567
1980-06-09,0.000
1980-06-10,1.125
1980-06-11,0.426
1980-06-12,0.286
1980-06-13,0.945
1980-06-14,0.000
1980-06-15,3.582
1980-06-16,0.318
1980-06-17,0.001
1980-06-18,16.443
1980-06-19,15.469
1980-06-20,0.295
1980-06-21,4.135
1980-06-22,2.232
1980-06-23,0.001
1980-06-24,0.324
1980-06-25,0.006
1980-06-26,0.846
1980-06-27,0.465
1980-06-28,7.920
1980-06-29,0.000
1980-06-30,3.977
1980-07-01,3.414
1980-07-02,0.000
1980-07-03,0.059
1980-07-04,1.248
1980-07-05,0.000
1980-07-06,2.404
1980-07-07,7.047
1980-07-08,1.883
1980-07-09,9.420
1980-07-10,3.628
1980-07-11,0.734
1980-07-12,0.450
1980-07-13,3.916
1980-07-14,4.538
1980-07-15,0.086
1980-07-16,11.516
1980-07-17,10.440
1980-07-18,0.000
1980-07-19,0.000
1980-07-20,0.624
1980-07-21,0.001
1980-07-22,0.812
1980-07-23,6.691
1980-07-24,0.134
1980-07-25,2.541
1980-07-26,9.125
1980-07-27,10.067
1980-07-28,8.679
1980-07-29,0.315
1980-07-30,3.982
1980-07-31,0.020
1980-08-01,0.087
1980-08-02,0.034
1980-08-03,0.687
1980-08-04,1.039
1980-08-05,0.000
1980-08-06,0.446
1980-08-07,0.376
1980-08-08,2.150
1980-08-09,0.000
1980-08-10,0.009
1980-08-11,0.000
1980-08-12,0.000
1980-08-13,5.472
1980-08-14,0.344
1980-08-15,0.103
1980-08-16,1.324
1980-08-17,7.199
1980-08-18,5.672
1980-08-19,3.284
1980-08-20,2.744
1980-08-21,1.971
1980-08-22,0.001
1980-08-23,0.000
1980-08-24,0.000
1980-08-25,0.147
1980-08-26,1.276
1980-08-27,0.028
1980-08-28,0.276
1980-08-29,2.124
1980-08-30,0.512
1980-08-31,0.006
1980-09-01,4.029
1980-09-02,0.652
1980-09-03,0.036
1980-09-04,0.000
1980-09-05,2.750
1980-09-06,0.225
1980-09-07,0.000
1980-09-08,0.000
1980-09-09,0.000
1980-09-10,0.004
1980-09-11,0.853
1980-09-12,0.000
1980-09-13,2.819
1980-09-14,3.135
1980-09-15,3.536
1980-09-16,0.065
1980-09-17,0.000
1980-09-18,0.599
1980-09-19,0.772
1980-09-20,1.050
1980-09-21,0.000
1980-09-22,0.000
