Time,precip_mm_ERA5_12km,BETHEL AIRPORT,month
1970-01-01,1.611,0.000,Jan
1970-01-02,0.000,0.254,Jan
1970-01-03,0.014,0.000,Jan
1970-01-04,0.000,0.000,Jan
1970-01-05,0.000,0.000,Jan
1970-01-06,0.000,0.000,Jan
1970-01-07,0.001,0.254,Jan
1970-01-08,1.872,0.508,Jan
1970-01-09,2.880,0.254,Jan
1970-01-10,4.730,0.762,Jan
1970-01-11,0.001,0.000,Jan
1970-01-12,0.000,0.000,Jan
1970-01-13,0.000,0.000,Jan
1970-01-14,0.259,0.000,Jan
1970-01-15,0.004,0.000,Jan
1970-01-16,0.000,0.000,Jan
1970-01-17,0.000,0.000,Jan
1970-01-18,0.000,0.254,Jan
1970-01-19,0.000,0.000,Jan
1970-01-20,0.001,0.000,Jan
1970-01-21,0.094,0.000,Jan
1970-01-22,0.000,0.000,Jan
1970-01-23,0.101,0.254,Jan
1970-01-24,0.079,0.254,Jan
1970-01-25,0.000,0.000,Jan
1970-01-26,0.000,0.000,Jan
1970-01-27,0.003,0.000,Jan
1970-01-28,0.004,0.000,Jan
1970-01-29,0.007,0.000,Jan
1970-01-30,0.114,0.000,Jan
1970-01-31,2.341,1.016,Jan
1970-02-01,0.035,0.000,Feb
1970-02-02,0.006,0.000,Feb
1970-02-03,0.003,0.000,Feb
1970-02-04,0.004,0.000,Feb
1970-02-05,0.005,0.000,Feb
1970-02-06,0.001,0.000,Feb
1970-02-07,0.000,0.000,Feb
1970-02-08,0.349,0.000,Feb
1970-02-09,0.076,0.000,Feb
1970-02-10,0.009,0.000,Feb
1970-02-11,0.205,0.508,Feb
1970-02-12,0.281,0.000,Feb
1970-02-13,0.298,0.254,Feb
1970-02-14,0.274,0.508,Feb
1970-02-15,4.625,2.032,Feb
1970-02-16,2.346,0.254,Feb
1970-02-17,1.307,0.254,Feb
1970-02-18,0.970,0.000,Feb
1970-02-19,1.240,0.000,Feb
1970-02-20,0.037,0.254,Feb
1970-02-21,0.194,0.000,Feb
1970-02-22,2.654,0.254,Feb
1970-02-23,7.028,0.762,Feb
1970-02-24,8.904,3.048,Feb
1970-02-25,3.916,0.254,Feb
1970-02-26,0.172,0.254,Feb
1970-02-27,0.251,0.254,Feb
1970-02-28,0.564,0.254,Feb
1970-03-01,5.514,3.048,Mar
1970-03-02,0.006,0.000,Mar
1970-03-03,0.000,0.000,Mar
1970-03-04,0.040,0.000,Mar
1970-03-05,1.441,0.254,Mar
1970-03-06,4.215,0.254,Mar
1970-03-07,0.879,0.254,Mar
1970-03-08,0.000,0.000,Mar
1970-03-09,0.372,0.000,Mar
1970-03-10,1.403,0.000,Mar
1970-03-11,1.499,0.254,Mar
1970-03-12,0.004,0.254,Mar
1970-03-13,0.072,0.000,Mar
1970-03-14,0.274,0.000,Mar
1970-03-15,0.004,0.000,Mar
1970-03-16,0.039,0.254,Mar
1970-03-17,1.153,0.254,Mar
1970-03-18,1.702,0.254,Mar
1970-03-19,4.105,0.762,Mar
1970-03-20,1.698,0.254,Mar
1970-03-21,0.080,0.000,Mar
1970-03-22,0.090,0.254,Mar
1970-03-23,1.084,1.016,Mar
1970-03-24,0.088,0.254,Mar
1970-03-25,5.286,2.540,Mar
1970-03-26,1.138,0.762,Mar
1970-03-27,0.252,0.254,Mar
1970-03-28,0.804,0.508,Mar
1970-03-29,4.261,2.032,Mar
1970-03-30,1.228,1.016,Mar
1970-03-31,0.614,0.254,Mar
1970-04-01,0.036,1.270,Apr
1970-04-02,0.136,0.254,Apr
1970-04-03,0.001,0.000,Apr
1970-04-04,0.058,0.000,Apr
1970-04-05,0.085,0.000,Apr
1970-04-06,0.002,0.000,Apr
1970-04-07,0.043,0.000,Apr
1970-04-08,0.010,0.000,Apr
1970-04-09,0.045,0.254,Apr
1970-04-10,0.051,0.254,Apr
1970-04-11,4.595,1.778,Apr
1970-04-12,4.839,0.254,Apr
1970-04-13,0.841,0.000,Apr
1970-04-14,0.195,0.000,Apr
1970-04-15,2.454,0.254,Apr
1970-04-16,4.208,0.762,Apr
1970-04-17,1.009,0.254,Apr
1970-04-18,2.390,1.778,Apr
1970-04-19,2.616,2.032,Apr
1970-04-20,3.309,0.508,Apr
1970-04-21,4.961,1.270,Apr
1970-04-22,1.226,0.254,Apr
1970-04-23,1.631,0.508,Apr
1970-04-24,0.161,0.254,Apr
1970-04-25,0.067,0.000,Apr
1970-04-26,1.086,0.762,Apr
1970-04-27,1.007,1.270,Apr
1970-04-28,2.578,0.762,Apr
1970-04-29,1.783,0.254,Apr
1970-04-30,0.345,0.254,Apr
1970-05-01,0.023,0.254,May
1970-05-02,0.019,0.000,May
1970-05-03,0.155,0.000,May
1970-05-04,0.365,0.000,May
1970-05-05,1.958,1.270,May
1970-05-06,0.001,0.254,May
1970-05-07,2.676,1.016,May
1970-05-08,0.870,0.000,May
1970-05-09,0.009,0.254,May
1970-05-10,0.035,0.000,May
1970-05-11,0.016,0.000,May
1970-05-12,0.029,0.000,May
1970-05-13,0.075,0.000,May
1970-05-14,0.194,0.000,May
1970-05-15,0.099,0.000,May
1970-05-16,1.516,2.540,May
1970-05-17,2.305,0.762,May
1970-05-18,0.149,2.286,May
1970-05-19,0.357,0.000,May
1970-05-20,0.584,0.508,May
1970-05-21,6.688,11.938,May
1970-05-22,1.117,0.000,May
1970-05-23,0.360,0.254,May
1970-05-24,0.000,0.000,May
1970-05-25,0.000,0.254,May
1970-05-26,0.001,0.000,May
1970-05-27,0.016,0.254,May
1970-05-28,0.002,11.684,May
1970-05-29,0.003,0.508,May
1970-05-30,0.000,0.000,May
1970-05-31,1.480,0.254,May
1970-06-01,0.108,0.000,Jun
1970-06-02,0.141,0.762,Jun
1970-06-03,0.000,0.000,Jun
1970-06-04,1.025,0.000,Jun
1970-06-05,0.000,0.000,Jun
1970-06-06,0.000,0.000,Jun
1970-06-07,0.000,0.000,Jun
1970-06-08,0.000,0.000,Jun
1970-06-09,0.107,0.000,Jun
1970-06-10,0.580,0.000,Jun
1970-06-11,0.115,0.000,Jun
1970-06-12,0.233,0.254,Jun
1970-06-13,1.263,1.778,Jun
1970-06-14,0.618,1.016,Jun
1970-06-15,0.030,0.508,Jun
1970-06-16,0.072,0.254,Jun
1970-06-17,7.691,5.588,Jun
1970-06-18,5.245,1.778,Jun
1970-06-19,4.717,0.254,Jun
1970-06-20,3.041,0.254,Jun
1970-06-21,4.708,0.508,Jun
1970-06-22,0.259,0.508,Jun
1970-06-23,0.045,0.254,Jun
1970-06-24,2.498,4.064,Jun
1970-06-25,0.018,0.254,Jun
1970-06-26,0.000,0.000,Jun
1970-06-27,0.002,0.000,Jun
1970-06-28,3.896,0.254,Jun
1970-06-29,0.001,0.254,Jun
1970-06-30,0.558,0.000,Jun
1970-07-01,0.000,0.000,Jul
1970-07-02,8.380,0.254,Jul
1970-07-03,4.700,0.254,Jul
1970-07-04,0.002,13.716,Jul
1970-07-05,0.417,11.176,Jul
1970-07-06,0.154,0.000,Jul
1970-07-07,1.203,0.254,Jul
1970-07-08,5.177,4.572,Jul
1970-07-09,1.950,2.032,Jul
1970-07-10,8.359,2.540,Jul
1970-07-11,9.112,3.048,Jul
1970-07-12,5.396,0.762,Jul
1970-07-13,3.193,1.270,Jul
1970-07-14,2.005,1.524,Jul
1970-07-15,0.051,0.254,Jul
1970-07-16,0.001,0.000,Jul
1970-07-17,0.216,0.000,Jul
1970-07-18,0.021,0.000,Jul
1970-07-19,0.764,1.016,Jul
1970-07-20,8.660,10.414,Jul
1970-07-21,11.200,8.382,Jul
1970-07-22,0.781,4.572,Jul
1970-07-23,0.001,0.000,Jul
1970-07-24,0.007,0.000,Jul
1970-07-25,0.020,0.000,Jul
1970-07-26,3.265,0.762,Jul
1970-07-27,1.849,3.810,Jul
1970-07-28,6.924,0.254,Jul
1970-07-29,16.604,17.780,Jul
1970-07-30,0.488,0.254,Jul
1970-07-31,0.019,0.254,Jul
1970-08-01,3.464,7.366,Aug
1970-08-02,11.621,5.080,Aug
1970-08-03,0.090,4.572,Aug
1970-08-04,1.551,2.540,Aug
1970-08-05,2.793,1.524,Aug
1970-08-06,11.936,16.256,Aug
1970-08-07,1.738,0.762,Aug
1970-08-08,1.452,1.270,Aug
1970-08-09,0.621,0.000,Aug
1970-08-10,0.060,0.000,Aug
1970-08-11,0.235,0.254,Aug
1970-08-12,12.457,7.874,Aug
1970-08-13,5.082,0.762,Aug
1970-08-14,0.000,0.000,Aug
1970-08-15,3.843,2.286,Aug
1970-08-16,0.725,0.508,Aug
1970-08-17,7.461,0.762,Aug
1970-08-18,7.525,1.778,Aug
1970-08-19,7.216,4.064,Aug
1970-08-20,4.829,4.064,Aug
1970-08-21,0.193,0.254,Aug
1970-08-22,9.604,8.890,Aug
1970-08-23,2.516,0.762,Aug
1970-08-24,0.168,0.254,Aug
1970-08-25,0.184,0.254,Aug
1970-08-26,0.000,0.000,Aug
1970-08-27,0.190,1.016,Aug
1970-08-28,4.105,0.508,Aug
1970-08-29,3.324,3.556,Aug
1970-08-30,0.182,0.762,Aug
1970-08-31,0.354,0.254,Aug
1970-09-01,1.427,0.000,Sep
1970-09-02,0.203,0.000,Sep
1970-09-03,19.106,7.874,Sep
1970-09-04,8.403,0.508,Sep
1970-09-05,0.000,0.000,Sep
1970-09-06,0.006,0.254,Sep
1970-09-07,0.000,0.000,Sep
1970-09-08,0.000,0.000,Sep
1970-09-09,0.000,0.000,Sep
1970-09-10,12.892,4.064,Sep
1970-09-11,0.413,2.032,Sep
1970-09-12,1.361,1.524,Sep
1970-09-13,0.044,0.254,Sep
1970-09-14,0.596,0.762,Sep
1970-09-15,2.357,3.302,Sep
1970-09-16,2.308,0.508,Sep
1970-09-17,3.748,0.254,Sep
