ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PABE: precip_mm_ERA5,0.0,5.28 (*),0.5,1.81,-2.67,-0.6,2.94,-4.06,-1.72,1.86,-0.17,-0.56
PABE: precip_mm_ERA5_12km,0.36,5.53 (**),-1.47,2.88,1.41,-0.06,2.59,-2.25,-1.67,1.77,-0.23,-2.98
PABE: precip_mm_ERA5_4km,0.5,5.53 (**),-1.52,2.99,0.91,0.27,2.37,-2.46,-2.68,2.23,-1.11,-3.38 (*)
PABE: precip_mm_station,0.64,3.98 (**),1.27,2.27,2.34,1.75,6.38,1.69,7.0,3.69,4.26,-0.04
PABR: precip_mm_ERA5,0.32,1.25,1.23,0.0,1.67,1.67,1.07,-0.17,-0.35,1.72,4.43 (**),1.21
PABR: precip_mm_ERA5_12km,0.09,0.59,0.47,0.48,2.28 (*),1.43,2.38,-0.66,-0.04,3.53 (*),5.04 (**),0.37
PABR: precip_mm_ERA5_4km,0.01,0.75,0.49,0.51,2.17 (*),0.99,3.69,-0.28,-0.09,3.89 (*),5.12 (**),0.45
PABR: precip_mm_station,0.96 (*),1.59 (**),1.27 (**),0.85,2.1 (**),1.95 (**),2.54,1.07,0.6,1.8 (**),3.56 (**),1.18 (**)
PAFA: precip_mm_ERA5,0.0,0.0,0.89,0.17,-2.5,-0.41,-10.0,5.0,2.74,-4.6 (**),0.61,-0.53
PAFA: precip_mm_ERA5_12km,0.29,0.09,1.44,0.38,-2.22,-2.15,-5.64,6.89,2.78,-2.78,0.8,-0.49
PAFA: precip_mm_ERA5_4km,0.3,0.36,1.87,0.76,-2.5,-0.1,-8.55,6.6,2.72,-3.51,0.88,-0.24
PAFA: precip_mm_station,0.0,1.11,1.69 (**),0.64,-0.69,0.49,3.25,5.4 (*),4.39 (*),-2.54 (*),0.85,-0.52
PANC: precip_mm_ERA5,-2.61,2.71,-0.75,0.51,1.89,0.47,-2.22,-2.95,5.07,-1.36,2.28,-2.5
PANC: precip_mm_ERA5_12km,-2.18,3.44,-1.56,2.29,-2.27,0.43,3.87,-1.58,1.9,-5.86,1.79,0.33
PANC: precip_mm_ERA5_4km,-1.61,2.49,0.13,1.41,-3.02,-0.21,4.33,-2.66,3.7,-3.95,1.79,-1.03
PANC: precip_mm_station,2.19,2.26,3.31 (**),0.47,-1.52,0.23,2.3,-2.9,0.56,-4.48,1.25,2.19
