Time,rain_ERA5_12km,FAIRBANKS INTL AP,month
2018-01-01,0.003,0.000,Jan
2018-01-02,0.000,0.000,Jan
2018-01-03,0.001,0.025,Jan
2018-01-04,0.010,0.025,Jan
2018-01-05,0.016,0.000,Jan
2018-01-06,0.000,0.000,Jan
2018-01-07,0.000,0.000,Jan
2018-01-08,0.000,0.000,Jan
2018-01-09,0.000,0.000,Jan
2018-01-10,0.000,0.025,Jan
2018-01-11,0.000,0.025,Jan
2018-01-12,0.000,0.000,Jan
2018-01-13,0.000,0.025,Jan
2018-01-14,0.041,0.000,Jan
2018-01-15,0.000,0.025,Jan
2018-01-16,0.002,0.381,Jan
2018-01-17,0.076,1.397,Jan
2018-01-18,0.010,0.152,Jan
2018-01-19,0.079,0.305,Jan
2018-01-20,0.025,0.025,Jan
2018-01-21,0.006,0.025,Jan
2018-01-22,0.041,0.330,Jan
2018-01-23,0.092,0.178,Jan
2018-01-24,0.025,0.025,Jan
2018-01-25,0.030,0.025,Jan
2018-01-26,0.002,0.025,Jan
2018-01-27,0.000,0.025,Jan
2018-01-28,0.105,0.025,Jan
2018-01-29,0.161,0.025,Jan
2018-01-30,0.021,0.025,Jan
2018-01-31,0.003,0.000,Jan
2018-02-01,0.027,0.000,Feb
2018-02-02,0.027,0.000,Feb
2018-02-03,0.000,0.000,Feb
2018-02-04,0.000,0.000,Feb
2018-02-05,0.003,0.000,Feb
2018-02-06,0.000,0.000,Feb
2018-02-07,0.000,0.000,Feb
2018-02-08,0.000,0.000,Feb
2018-02-09,0.000,0.000,Feb
2018-02-10,0.000,0.000,Feb
2018-02-11,0.062,0.102,Feb
2018-02-12,0.146,0.406,Feb
2018-02-13,0.052,0.102,Feb
2018-02-14,0.078,0.813,Feb
2018-02-15,0.362,0.127,Feb
2018-02-16,0.075,0.025,Feb
2018-02-17,0.000,0.025,Feb
2018-02-18,0.000,0.076,Feb
2018-02-19,0.081,0.025,Feb
2018-02-20,0.254,0.076,Feb
2018-02-21,0.035,0.178,Feb
2018-02-22,0.145,0.813,Feb
2018-02-23,0.313,0.102,Feb
2018-02-24,0.068,0.025,Feb
2018-02-25,0.162,0.025,Feb
2018-02-26,0.017,0.813,Feb
2018-02-27,0.072,0.330,Feb
2018-02-28,0.016,0.025,Feb
2018-03-01,0.001,0.000,Mar
2018-03-02,0.010,0.025,Mar
2018-03-03,0.007,0.305,Mar
2018-03-04,0.023,0.025,Mar
2018-03-05,0.004,0.229,Mar
2018-03-06,0.019,0.025,Mar
2018-03-07,0.000,0.000,Mar
2018-03-08,0.000,0.000,Mar
2018-03-09,0.002,0.025,Mar
2018-03-10,0.003,0.000,Mar
2018-03-11,0.001,0.000,Mar
2018-03-12,0.000,0.000,Mar
2018-03-13,0.000,0.000,Mar
2018-03-14,0.014,0.483,Mar
2018-03-15,0.031,0.025,Mar
2018-03-16,0.011,0.102,Mar
2018-03-17,0.018,0.051,Mar
2018-03-18,0.009,0.025,Mar
2018-03-19,0.062,0.076,Mar
2018-03-20,0.068,0.025,Mar
2018-03-21,0.004,0.000,Mar
2018-03-22,0.002,0.000,Mar
2018-03-23,0.000,0.000,Mar
2018-03-24,0.000,0.000,Mar
2018-03-25,0.000,0.000,Mar
2018-03-26,0.000,0.000,Mar
2018-03-27,0.000,0.000,Mar
2018-03-28,0.000,0.000,Mar
2018-03-29,0.000,0.025,Mar
2018-03-30,0.001,0.000,Mar
2018-03-31,0.140,0.203,Mar
2018-04-01,0.294,0.025,Apr
2018-04-02,0.006,0.000,Apr
2018-04-03,0.027,0.000,Apr
2018-04-04,0.004,0.000,Apr
2018-04-05,0.000,0.000,Apr
2018-04-06,0.000,0.000,Apr
2018-04-07,0.001,0.000,Apr
2018-04-08,0.000,0.000,Apr
2018-04-09,0.000,0.000,Apr
2018-04-10,0.000,0.000,Apr
2018-04-11,0.000,0.000,Apr
2018-04-12,0.029,0.000,Apr
2018-04-13,0.006,0.000,Apr
2018-04-14,0.010,0.000,Apr
2018-04-15,0.000,0.000,Apr
2018-04-16,0.000,0.000,Apr
2018-04-17,0.000,0.000,Apr
2018-04-18,0.000,0.000,Apr
2018-04-19,0.030,0.000,Apr
2018-04-20,0.004,0.152,Apr
2018-04-21,0.001,0.025,Apr
2018-04-22,0.000,0.000,Apr
2018-04-23,0.000,0.000,Apr
2018-04-24,0.001,0.000,Apr
2018-04-25,0.042,0.051,Apr
2018-04-26,0.000,0.000,Apr
2018-04-27,0.001,0.000,Apr
2018-04-28,0.001,0.000,Apr
2018-04-29,0.002,0.025,Apr
2018-04-30,0.027,0.178,Apr
2018-05-01,0.106,0.381,May
2018-05-02,0.005,0.025,May
2018-05-03,0.003,0.000,May
2018-05-04,0.001,0.000,May
2018-05-05,0.096,0.000,May
2018-05-06,0.003,0.000,May
2018-05-07,0.000,0.000,May
2018-05-08,0.000,0.000,May
2018-05-09,0.000,0.000,May
2018-05-10,0.001,0.000,May
2018-05-11,0.037,0.025,May
2018-05-12,0.379,0.025,May
2018-05-13,0.000,0.000,May
2018-05-14,0.002,0.178,May
2018-05-15,0.003,0.102,May
2018-05-16,0.004,0.025,May
2018-05-17,0.321,0.000,May
2018-05-18,0.005,0.025,May
2018-05-19,0.002,0.025,May
2018-05-20,0.002,0.127,May
2018-05-21,0.171,0.813,May
2018-05-22,0.003,0.051,May
2018-05-23,0.003,0.102,May
2018-05-24,0.006,1.016,May
2018-05-25,0.015,0.025,May
2018-05-26,0.005,0.127,May
2018-05-27,0.001,0.000,May
2018-05-28,0.005,0.000,May
2018-05-29,0.004,0.000,May
2018-05-30,0.009,0.000,May
2018-05-31,0.006,0.025,May
2018-06-01,0.011,0.051,Jun
2018-06-02,0.012,0.000,Jun
2018-06-03,0.007,0.025,Jun
2018-06-04,0.003,0.025,Jun
2018-06-05,0.003,0.356,Jun
2018-06-06,0.008,0.025,Jun
2018-06-07,0.011,0.000,Jun
2018-06-08,0.006,0.127,Jun
2018-06-09,0.200,0.000,Jun
2018-06-10,0.336,0.203,Jun
2018-06-11,0.140,0.330,Jun
2018-06-12,0.003,0.000,Jun
2018-06-13,0.103,0.000,Jun
2018-06-14,0.181,0.051,Jun
2018-06-15,0.025,0.025,Jun
2018-06-16,0.000,0.025,Jun
2018-06-17,0.187,0.051,Jun
2018-06-18,0.027,0.025,Jun
2018-06-19,0.038,0.025,Jun
2018-06-20,0.052,0.000,Jun
2018-06-21,0.000,0.025,Jun
2018-06-22,0.054,0.025,Jun
2018-06-23,0.778,0.025,Jun
2018-06-24,0.000,0.000,Jun
2018-06-25,0.003,0.000,Jun
2018-06-26,0.000,0.025,Jun
2018-06-27,0.000,0.000,Jun
2018-06-28,0.000,0.203,Jun
2018-06-29,0.001,0.025,Jun
2018-06-30,0.002,0.025,Jun
2018-07-01,0.006,0.584,Jul
2018-07-02,0.229,0.025,Jul
2018-07-03,0.056,0.000,Jul
2018-07-04,0.488,0.000,Jul
2018-07-05,0.014,0.457,Jul
2018-07-06,0.027,0.000,Jul
2018-07-07,0.000,0.000,Jul
2018-07-08,0.507,0.025,Jul
2018-07-09,0.042,0.000,Jul
2018-07-10,0.008,0.000,Jul
2018-07-11,0.010,0.838,Jul
2018-07-12,0.000,0.000,Jul
2018-07-13,0.000,0.000,Jul
2018-07-14,0.114,0.025,Jul
2018-07-15,0.150,0.127,Jul
2018-07-16,0.246,0.025,Jul
2018-07-17,0.158,0.076,Jul
2018-07-18,0.102,0.000,Jul
2018-07-19,0.447,0.025,Jul
2018-07-20,0.000,0.000,Jul
2018-07-21,0.000,0.000,Jul
2018-07-22,0.234,0.000,Jul
2018-07-23,0.003,0.000,Jul
2018-07-24,0.187,0.000,Jul
2018-07-25,0.129,0.000,Jul
2018-07-26,0.000,0.000,Jul
2018-07-27,0.321,0.457,Jul
2018-07-28,0.484,0.000,Jul
2018-07-29,0.120,0.000,Jul
2018-07-30,0.000,0.000,Jul
2018-07-31,0.070,0.000,Jul
2018-08-01,0.000,0.025,Aug
2018-08-02,0.007,0.025,Aug
2018-08-03,0.125,0.000,Aug
2018-08-04,0.347,0.025,Aug
2018-08-05,0.002,2.540,Aug
2018-08-06,0.207,1.245,Aug
2018-08-07,0.344,0.000,Aug
2018-08-08,0.020,0.152,Aug
2018-08-09,0.005,0.000,Aug
2018-08-10,0.066,0.000,Aug
2018-08-11,0.001,0.025,Aug
2018-08-12,0.000,0.000,Aug
2018-08-13,0.047,2.134,Aug
2018-08-14,0.004,0.737,Aug
2018-08-15,0.298,0.127,Aug
2018-08-16,0.677,0.000,Aug
2018-08-17,0.031,0.025,Aug
2018-08-18,0.122,0.000,Aug
2018-08-19,0.000,0.025,Aug
2018-08-20,0.001,0.025,Aug
2018-08-21,0.008,0.330,Aug
2018-08-22,0.001,0.203,Aug
2018-08-23,0.083,0.152,Aug
2018-08-24,0.006,1.372,Aug
2018-08-25,0.017,0.025,Aug
2018-08-26,0.000,0.432,Aug
2018-08-27,0.274,0.229,Aug
2018-08-28,0.132,0.025,Aug
2018-08-29,0.148,0.000,Aug
2018-08-30,0.217,0.889,Aug
2018-08-31,0.375,0.000,Aug
2018-09-01,0.565,0.330,Sep
2018-09-02,0.000,0.356,Sep
2018-09-03,0.359,0.000,Sep
2018-09-04,0.125,0.076,Sep
2018-09-05,0.250,0.025,Sep
2018-09-06,0.539,0.025,Sep
2018-09-07,0.000,0.000,Sep
2018-09-08,0.000,0.000,Sep
2018-09-09,0.088,0.000,Sep
2018-09-10,0.026,0.000,Sep
2018-09-11,0.015,0.000,Sep
2018-09-12,0.486,0.025,Sep
2018-09-13,0.133,0.000,Sep
2018-09-14,0.000,0.000,Sep
2018-09-15,0.000,0.000,Sep
2018-09-16,0.000,0.127,Sep
2018-09-17,0.002,0.025,Sep
2018-09-18,0.000,0.127,Sep
2018-09-19,0.000,0.152,Sep
2018-09-20,0.000,0.508,Sep
2018-09-21,0.020,1.041,Sep
2018-09-22,0.445,1.194,Sep
2018-09-23,0.261,0.483,Sep
2018-09-24,0.000,0.127,Sep
2018-09-25,0.006,0.203,Sep
2018-09-26,0.000,0.000,Sep
2018-09-27,0.002,0.000,Sep
2018-09-28,0.000,0.000,Sep
2018-09-29,0.001,0.000,Sep
2018-09-30,0.000,0.000,Sep
2018-10-01,0.000,0.000,Oct
2018-10-02,0.000,0.000,Oct
2018-10-03,0.000,0.000,Oct
2018-10-04,0.000,0.000,Oct
2018-10-05,0.000,0.000,Oct
2018-10-06,0.000,0.000,Oct
2018-10-07,0.000,0.000,Oct
2018-10-08,0.000,0.000,Oct
2018-10-09,0.023,0.000,Oct
2018-10-10,0.002,0.127,Oct
2018-10-11,0.000,0.254,Oct
2018-10-12,0.009,0.000,Oct
2018-10-13,0.002,0.025,Oct
2018-10-14,0.269,0.000,Oct
2018-10-15,0.026,0.152,Oct
2018-10-16,0.215,0.330,Oct
2018-10-17,0.220,0.025,Oct
2018-10-18,0.000,0.000,Oct
2018-10-19,0.001,0.178,Oct
2018-10-20,0.017,0.152,Oct
2018-10-21,0.008,0.000,Oct
2018-10-22,0.006,0.000,Oct
2018-10-23,0.002,0.051,Oct
2018-10-24,0.051,0.000,Oct
2018-10-25,0.001,0.000,Oct
2018-10-26,0.028,0.025,Oct
2018-10-27,0.050,0.025,Oct
2018-10-28,0.378,0.051,Oct
2018-10-29,0.051,0.025,Oct
2018-10-30,0.002,0.000,Oct
2018-10-31,0.000,0.000,Oct
2018-11-01,0.013,0.000,Nov
2018-11-02,0.000,0.000,Nov
2018-11-03,0.006,0.000,Nov
2018-11-04,0.002,0.000,Nov
2018-11-05,0.000,0.000,Nov
2018-11-06,0.000,0.000,Nov
2018-11-07,0.005,0.000,Nov
2018-11-08,0.011,0.025,Nov
2018-11-09,0.002,0.076,Nov
2018-11-10,0.006,0.025,Nov
2018-11-11,0.007,0.127,Nov
2018-11-12,0.018,0.127,Nov
2018-11-13,0.000,0.813,Nov
2018-11-14,0.000,0.203,Nov
2018-11-15,0.000,0.000,Nov
2018-11-16,0.000,0.000,Nov
2018-11-17,0.000,0.000,Nov
2018-11-18,0.000,0.000,Nov
2018-11-19,0.003,0.025,Nov
2018-11-20,0.102,0.025,Nov
2018-11-21,0.024,0.025,Nov
2018-11-22,0.061,0.152,Nov
2018-11-23,0.031,0.203,Nov
2018-11-24,0.006,0.025,Nov
2018-11-25,0.024,0.000,Nov
2018-11-26,0.020,0.000,Nov
2018-11-27,0.044,0.000,Nov
2018-11-28,0.039,0.025,Nov
2018-11-29,0.044,0.025,Nov
2018-11-30,0.012,0.025,Nov
2018-12-01,0.017,0.127,Dec
2018-12-02,0.073,0.000,Dec
2018-12-03,0.002,0.203,Dec
2018-12-04,0.086,0.000,Dec
2018-12-05,0.037,0.000,Dec
2018-12-06,0.111,0.025,Dec
2018-12-07,0.016,0.000,Dec
2018-12-08,0.226,0.025,Dec
2018-12-09,0.170,0.203,Dec
2018-12-10,0.007,0.000,Dec
2018-12-11,0.006,0.254,Dec
2018-12-12,0.014,0.025,Dec
2018-12-13,0.007,0.076,Dec
2018-12-14,0.013,0.025,Dec
2018-12-15,0.000,0.025,Dec
2018-12-16,0.016,0.025,Dec
2018-12-17,0.089,0.051,Dec
2018-12-18,0.011,0.102,Dec
2018-12-19,0.005,0.051,Dec
2018-12-20,0.031,0.000,Dec
2018-12-21,0.002,0.000,Dec
2018-12-22,0.012,0.000,Dec
2018-12-23,0.003,0.000,Dec
2018-12-24,0.000,0.000,Dec
2018-12-25,0.000,0.000,Dec
2018-12-26,0.000,0.000,Dec
2018-12-27,0.000,0.000,Dec
2018-12-28,0.002,0.025,Dec
2018-12-29,0.010,0.025,Dec
2018-12-30,0.014,0.000,Dec
2018-12-31,0.008,0.000,Dec
