Time,precip_mm_ERA5_4km,CORDOVA AIRPORT,month
1970-01-01,4.262,21.336,Jan
1970-01-02,0.000,0.000,Jan
1970-01-03,0.000,0.000,Jan
1970-01-04,0.000,0.000,Jan
1970-01-05,0.315,0.000,Jan
1970-01-06,3.449,4.064,Jan
1970-01-07,2.015,3.302,Jan
1970-01-08,0.002,0.000,Jan
1970-01-09,0.000,0.000,Jan
1970-01-10,0.000,0.000,Jan
1970-01-11,0.000,0.000,Jan
1970-01-12,0.239,0.000,Jan
1970-01-13,0.010,0.000,Jan
1970-01-14,0.574,0.000,Jan
1970-01-15,3.289,6.604,Jan
1970-01-16,10.384,16.256,Jan
1970-01-17,1.884,0.508,Jan
1970-01-18,0.032,5.334,Jan
1970-01-19,5.564,0.254,Jan
1970-01-20,4.657,1.778,Jan
1970-01-21,2.113,0.254,Jan
1970-01-22,10.174,9.144,Jan
1970-01-23,0.003,0.000,Jan
1970-01-24,1.290,0.762,Jan
1970-01-25,16.536,0.254,Jan
1970-01-26,15.615,1.778,Jan
1970-01-27,6.094,7.366,Jan
1970-01-28,25.345,5.080,Jan
1970-01-29,1.440,0.000,Jan
1970-01-30,5.291,0.254,Jan
1970-01-31,2.250,5.842,Jan
1970-02-01,0.891,0.508,Feb
1970-02-02,26.767,11.938,Feb
1970-02-03,8.707,23.876,Feb
1970-02-04,18.688,7.112,Feb
1970-02-05,16.213,19.050,Feb
1970-02-06,20.460,6.858,Feb
1970-02-07,16.713,23.114,Feb
1970-02-08,10.542,9.144,Feb
1970-02-09,0.136,0.000,Feb
1970-02-10,2.939,10.414,Feb
1970-02-11,19.196,52.832,Feb
1970-02-12,1.122,2.794,Feb
1970-02-13,0.076,0.000,Feb
1970-02-14,0.082,0.000,Feb
1970-02-15,6.411,21.336,Feb
1970-02-16,0.129,3.810,Feb
1970-02-17,3.126,0.254,Feb
1970-02-18,12.090,8.128,Feb
1970-02-19,19.824,8.382,Feb
1970-02-20,12.663,20.828,Feb
1970-02-21,26.407,16.256,Feb
1970-02-22,10.329,10.160,Feb
1970-02-23,17.009,18.288,Feb
1970-02-24,28.609,18.288,Feb
1970-02-25,0.424,1.016,Feb
1970-02-26,0.033,0.254,Feb
1970-02-27,0.000,0.000,Feb
1970-02-28,0.002,0.000,Feb
1970-03-01,0.000,0.000,Mar
1970-03-02,0.007,0.254,Mar
1970-03-03,0.003,0.000,Mar
1970-03-04,9.927,0.762,Mar
1970-03-05,16.210,2.286,Mar
1970-03-06,24.234,15.748,Mar
1970-03-07,14.415,31.242,Mar
1970-03-08,27.560,18.288,Mar
1970-03-09,1.483,5.588,Mar
1970-03-10,6.913,2.286,Mar
1970-03-11,0.000,0.000,Mar
1970-03-12,0.000,0.000,Mar
1970-03-13,7.310,15.494,Mar
1970-03-14,14.564,13.970,Mar
1970-03-15,11.777,20.066,Mar
1970-03-16,0.635,0.508,Mar
1970-03-17,17.393,30.226,Mar
1970-03-18,20.535,17.780,Mar
1970-03-19,18.443,1.778,Mar
1970-03-20,8.475,9.144,Mar
1970-03-21,4.042,4.064,Mar
1970-03-22,3.551,0.508,Mar
1970-03-23,0.036,0.000,Mar
1970-03-24,8.905,4.826,Mar
1970-03-25,20.072,26.670,Mar
1970-03-26,49.123,45.720,Mar
1970-03-27,5.629,12.192,Mar
1970-03-28,23.764,11.938,Mar
1970-03-29,10.917,5.842,Mar
1970-03-30,40.570,16.510,Mar
1970-03-31,0.340,1.778,Mar
1970-04-01,0.000,0.000,Apr
1970-04-02,8.708,1.524,Apr
1970-04-03,8.828,25.146,Apr
1970-04-04,6.621,10.160,Apr
1970-04-05,2.557,5.334,Apr
1970-04-06,1.750,1.270,Apr
1970-04-07,5.066,0.000,Apr
1970-04-08,0.408,2.286,Apr
1970-04-09,0.920,0.508,Apr
1970-04-10,0.400,20.574,Apr
1970-04-11,0.401,6.096,Apr
1970-04-12,24.470,15.240,Apr
1970-04-13,28.674,67.056,Apr
1970-04-14,24.752,17.018,Apr
1970-04-15,2.771,4.572,Apr
