Time,precip_mm_ERA5_12km,CORDOVA AIRPORT,month
1970-06-20,4.269,2.540,Jun
1970-06-21,0.507,4.318,Jun
1970-06-22,2.450,8.636,Jun
1970-06-23,0.173,0.254,Jun
1970-06-24,0.267,3.048,Jun
1970-06-25,0.405,3.048,Jun
1970-06-26,0.933,5.080,Jun
1970-06-27,0.011,2.032,Jun
1970-06-28,0.694,1.016,Jun
1970-06-29,0.535,2.794,Jun
1970-06-30,0.727,0.000,Jun
1970-07-01,0.241,0.254,Jul
1970-07-02,0.295,2.540,Jul
1970-07-03,0.197,1.016,Jul
1970-07-04,7.538,14.986,Jul
1970-07-05,6.495,1.016,Jul
1970-07-06,2.929,0.508,Jul
1970-07-07,0.015,10.414,Jul
1970-07-08,0.005,3.302,Jul
1970-07-09,0.068,1.524,Jul
1970-07-10,0.007,1.524,Jul
1970-07-11,1.296,4.318,Jul
1970-07-12,11.333,6.604,Jul
1970-07-13,11.606,2.794,Jul
1970-07-14,10.295,15.748,Jul
1970-07-15,8.993,3.810,Jul
1970-07-16,2.402,4.318,Jul
1970-07-17,1.982,6.096,Jul
1970-07-18,5.354,8.382,Jul
1970-07-19,0.067,0.000,Jul
1970-07-20,0.000,0.000,Jul
1970-07-21,7.882,3.810,Jul
1970-07-22,12.148,2.540,Jul
1970-07-23,0.347,1.778,Jul
1970-07-24,0.000,0.254,Jul
1970-07-25,0.000,0.000,Jul
1970-07-26,0.000,0.000,Jul
1970-07-27,0.041,0.000,Jul
1970-07-28,3.224,0.254,Jul
1970-07-29,3.473,14.986,Jul
1970-07-30,40.530,12.700,Jul
1970-07-31,44.565,37.846,Jul
1970-08-01,19.373,8.382,Aug
1970-08-02,14.659,21.082,Aug
1970-08-03,25.180,7.112,Aug
1970-08-04,0.000,0.000,Aug
1970-08-05,4.668,7.112,Aug
1970-08-06,1.589,2.032,Aug
1970-08-07,17.910,11.430,Aug
1970-08-08,2.455,8.382,Aug
1970-08-09,3.580,3.302,Aug
1970-08-10,0.116,5.080,Aug
1970-08-11,0.198,1.778,Aug
1970-08-12,0.001,0.254,Aug
1970-08-13,7.518,5.588,Aug
1970-08-14,10.767,3.810,Aug
1970-08-15,10.963,25.146,Aug
1970-08-16,11.139,7.620,Aug
1970-08-17,0.028,9.652,Aug
1970-08-18,27.552,23.622,Aug
1970-08-19,14.528,8.636,Aug
1970-08-20,36.364,64.008,Aug
1970-08-21,14.531,16.002,Aug
1970-08-22,7.596,44.958,Aug
1970-08-23,4.881,4.064,Aug
1970-08-24,6.903,0.000,Aug
1970-08-25,0.000,0.000,Aug
1970-08-26,0.000,0.000,Aug
1970-08-27,0.008,0.254,Aug
1970-08-28,0.816,6.350,Aug
1970-08-29,27.142,11.176,Aug
1970-08-30,19.806,8.382,Aug
