Time,precip_mm_ERA5_12km,FAIRBANKS INTL AP,month
1980-01-01,0.001,0.000,Jan
1980-01-02,0.001,0.000,Jan
1980-01-03,0.032,0.000,Jan
1980-01-04,0.001,0.000,Jan
1980-01-05,6.483,6.858,Jan
1980-01-06,2.986,0.762,Jan
1980-01-07,0.200,0.254,Jan
1980-01-08,0.272,0.254,Jan
1980-01-09,0.004,0.254,Jan
1980-01-10,0.000,0.254,Jan
1980-01-11,0.000,0.000,Jan
1980-01-12,0.000,0.000,Jan
1980-01-13,0.002,0.000,Jan
1980-01-14,0.004,0.000,Jan
1980-01-15,0.378,0.762,Jan
1980-01-16,0.074,0.254,Jan
1980-01-17,1.518,0.762,Jan
1980-01-18,0.000,0.000,Jan
1980-01-19,0.127,0.000,Jan
1980-01-20,0.234,0.000,Jan
1980-01-21,2.091,0.000,Jan
1980-01-22,5.462,1.016,Jan
1980-01-23,0.334,0.254,Jan
1980-01-24,0.035,0.000,Jan
1980-01-25,0.000,0.000,Jan
1980-01-26,0.000,0.000,Jan
1980-01-27,4.892,2.794,Jan
1980-01-28,0.475,0.254,Jan
1980-01-29,0.027,0.254,Jan
1980-01-30,0.000,0.000,Jan
1980-01-31,0.180,0.254,Jan
1980-02-01,8.841,4.318,Feb
1980-02-02,0.138,0.000,Feb
1980-02-03,0.246,0.000,Feb
1980-02-04,0.191,0.000,Feb
1980-02-05,0.011,0.000,Feb
1980-02-06,0.175,0.000,Feb
1980-02-07,0.403,0.000,Feb
1980-02-08,0.034,0.000,Feb
1980-02-09,0.067,0.000,Feb
1980-02-10,0.205,0.000,Feb
1980-02-11,0.379,0.000,Feb
1980-02-12,0.338,0.000,Feb
1980-02-13,0.015,0.000,Feb
1980-02-14,0.023,0.000,Feb
1980-02-15,0.037,0.000,Feb
1980-02-16,0.059,0.000,Feb
1980-02-17,0.019,0.000,Feb
1980-02-18,0.000,0.000,Feb
1980-02-19,0.000,0.000,Feb
1980-02-20,0.001,0.000,Feb
1980-02-21,0.004,0.000,Feb
1980-02-22,0.000,0.000,Feb
1980-02-23,0.075,0.000,Feb
1980-02-24,0.096,0.000,Feb
1980-02-25,0.062,0.000,Feb
1980-02-26,0.206,0.254,Feb
1980-02-27,0.195,1.016,Feb
1980-02-28,0.115,0.254,Feb
1980-02-29,0.000,0.000,Feb
1980-03-01,0.000,0.000,Mar
1980-03-02,0.000,0.000,Mar
