Time,precip_mm_ERA5_4km
1985-10-13,0.073
1985-10-14,0.182
1985-10-15,0.008
1985-10-16,0.101
1985-10-17,0.023
1985-10-18,2.173
1985-10-19,0.055
1985-10-20,0.000
1985-10-21,0.002
1985-10-22,0.148
1985-10-23,0.952
1985-10-24,1.230
1985-10-25,0.131
1985-10-26,0.064
1985-10-27,0.000
1985-10-28,0.002
1985-10-29,0.019
1985-10-30,0.205
1985-10-31,0.585
1985-11-01,1.328
1985-11-02,2.287
1985-11-03,2.363
1985-11-04,0.028
1985-11-05,0.000
1985-11-06,0.000
1985-11-07,0.000
1985-11-08,0.000
1985-11-09,0.000
1985-11-10,0.717
1985-11-11,5.282
1985-11-12,2.954
1985-11-13,0.910
1985-11-14,0.146
1985-11-15,0.012
1985-11-16,0.028
1985-11-17,15.754
1985-11-18,0.100
1985-11-19,0.014
1985-11-20,0.000
1985-11-21,0.000
1985-11-22,0.000
1985-11-23,0.028
1985-11-24,0.002
1985-11-25,0.000
1985-11-26,0.001
1985-11-27,0.002
1985-11-28,0.003
1985-11-29,0.000
1985-11-30,0.000
1985-12-01,0.000
1985-12-02,0.000
1985-12-03,0.000
1985-12-04,0.000
1985-12-05,0.138
1985-12-06,0.001
1985-12-07,0.032
1985-12-08,0.001
1985-12-09,0.006
1985-12-10,0.422
1985-12-11,0.007
1985-12-12,1.440
1985-12-13,0.256
1985-12-14,0.000
1985-12-15,0.078
1985-12-16,1.333
1985-12-17,0.904
1985-12-18,0.002
1985-12-19,1.148
1985-12-20,2.212
1985-12-21,0.116
1985-12-22,0.480
1985-12-23,0.767
1985-12-24,1.122
1985-12-25,0.933
1985-12-26,0.003
1985-12-27,0.006
1985-12-28,1.959
1985-12-29,0.496
1985-12-30,0.020
1985-12-31,0.006
