Time,precip_mm_ERA5_4km
1985-01-01,0.697
1985-01-02,2.117
1985-01-03,0.038
1985-01-04,0.000
1985-01-05,1.142
1985-01-06,0.065
1985-01-07,0.004
1985-01-08,0.004
1985-01-09,0.045
1985-01-10,0.067
1985-01-11,0.069
1985-01-12,0.159
1985-01-13,0.042
1985-01-14,0.055
1985-01-15,0.734
1985-01-16,0.699
1985-01-17,3.165
1985-01-18,0.060
1985-01-19,0.007
1985-01-20,0.037
1985-01-21,1.693
1985-01-22,0.021
1985-01-23,0.397
1985-01-24,0.732
1985-01-25,0.323
1985-01-26,0.000
1985-01-27,0.000
1985-01-28,1.853
1985-01-29,0.058
1985-01-30,0.607
1985-01-31,2.159
1985-02-01,0.526
1985-02-02,0.070
1985-02-03,2.969
1985-02-04,2.707
1985-02-05,3.549
1985-02-06,0.063
1985-02-07,0.230
1985-02-08,1.782
1985-02-09,0.247
1985-02-10,0.002
1985-02-11,0.000
1985-02-12,0.000
1985-02-13,0.000
1985-02-14,0.152
1985-02-15,2.002
1985-02-16,0.000
1985-02-17,0.001
1985-02-18,0.000
1985-02-19,0.071
1985-02-20,0.777
1985-02-21,0.000
1985-02-22,0.000
1985-02-23,0.000
1985-02-24,0.000
1985-02-25,0.006
1985-02-26,1.144
1985-02-27,2.306
1985-02-28,0.217
1985-03-01,0.006
1985-03-02,2.414
1985-03-03,0.881
1985-03-04,1.464
1985-03-05,0.380
1985-03-06,8.087
1985-03-07,1.711
1985-03-08,0.142
1985-03-09,1.890
1985-03-10,0.289
1985-03-11,1.001
1985-03-12,0.862
1985-03-13,0.048
1985-03-14,0.027
1985-03-15,0.002
1985-03-16,0.525
1985-03-17,0.023
1985-03-18,0.009
1985-03-19,0.007
1985-03-20,0.067
1985-03-21,0.000
1985-03-22,0.002
1985-03-23,0.000
1985-03-24,0.046
1985-03-25,0.162
1985-03-26,0.116
1985-03-27,0.166
1985-03-28,0.076
1985-03-29,0.009
1985-03-30,1.693
1985-03-31,0.093
1985-04-01,0.114
1985-04-02,0.295
1985-04-03,0.573
1985-04-04,0.624
1985-04-05,0.138
1985-04-06,0.069
1985-04-07,0.063
1985-04-08,5.151
1985-04-09,3.720
1985-04-10,0.442
1985-04-11,0.587
1985-04-12,0.881
1985-04-13,0.127
1985-04-14,0.051
1985-04-15,0.041
1985-04-16,0.001
1985-04-17,0.000
1985-04-18,0.050
1985-04-19,0.657
1985-04-20,0.138
1985-04-21,0.037
1985-04-22,0.023
1985-04-23,0.017
1985-04-24,0.146
1985-04-25,0.032
1985-04-26,0.566
1985-04-27,0.260
1985-04-28,0.012
1985-04-29,0.000
1985-04-30,0.021
1985-05-01,0.000
1985-05-02,0.000
1985-05-03,0.000
1985-05-04,0.302
1985-05-05,0.051
1985-05-06,0.735
1985-05-07,2.280
1985-05-08,0.459
1985-05-09,1.324
1985-05-10,0.144
1985-05-11,0.000
1985-05-12,0.074
1985-05-13,0.157
1985-05-14,0.066
1985-05-15,0.127
1985-05-16,0.251
1985-05-17,2.330
1985-05-18,0.107
1985-05-19,1.181
1985-05-20,0.420
1985-05-21,0.004
1985-05-22,0.000
1985-05-23,0.000
1985-05-24,0.000
1985-05-25,0.000
1985-05-26,0.000
1985-05-27,1.285
1985-05-28,0.000
1985-05-29,1.148
1985-05-30,0.507
1985-05-31,0.254
1985-06-01,0.516
1985-06-02,0.000
1985-06-03,0.001
1985-06-04,0.613
1985-06-05,5.319
1985-06-06,1.592
1985-06-07,2.682
1985-06-08,0.302
1985-06-09,1.727
1985-06-10,0.000
1985-06-11,0.000
1985-06-12,0.714
1985-06-13,3.728
1985-06-14,5.811
1985-06-15,0.179
1985-06-16,20.532
1985-06-17,0.582
1985-06-18,3.009
1985-06-19,0.182
1985-06-20,0.102
1985-06-21,1.222
1985-06-22,0.005
1985-06-23,0.001
1985-06-24,0.000
1985-06-25,13.643
1985-06-26,7.813
1985-06-27,0.505
1985-06-28,0.010
1985-06-29,0.034
1985-06-30,3.862
1985-07-01,2.494
1985-07-02,1.265
1985-07-03,0.259
1985-07-04,0.416
1985-07-05,0.019
1985-07-06,0.001
1985-07-07,0.000
1985-07-08,14.639
1985-07-09,0.361
1985-07-10,16.755
1985-07-11,3.814
1985-07-12,10.702
1985-07-13,0.000
1985-07-14,13.621
1985-07-15,0.027
1985-07-16,0.000
1985-07-17,0.272
1985-07-18,0.109
1985-07-19,0.000
1985-07-20,0.000
1985-07-21,0.113
1985-07-22,0.000
1985-07-23,0.006
1985-07-24,0.971
1985-07-25,0.668
1985-07-26,0.000
1985-07-27,0.000
1985-07-28,0.000
1985-07-29,0.000
1985-07-30,0.017
1985-07-31,8.241
1985-08-01,3.264
1985-08-02,0.000
1985-08-03,0.000
1985-08-04,1.153
1985-08-05,0.005
1985-08-06,0.000
1985-08-07,0.005
1985-08-08,0.505
1985-08-09,0.290
1985-08-10,6.181
1985-08-11,8.627
1985-08-12,6.329
1985-08-13,13.267
1985-08-14,1.473
1985-08-15,2.020
1985-08-16,1.147
1985-08-17,6.523
1985-08-18,0.005
1985-08-19,0.323
1985-08-20,0.161
1985-08-21,4.917
1985-08-22,0.192
1985-08-23,0.987
1985-08-24,0.031
1985-08-25,0.041
1985-08-26,5.008
1985-08-27,0.213
1985-08-28,0.003
1985-08-29,8.221
1985-08-30,0.547
1985-08-31,0.000
1985-09-01,1.126
1985-09-02,3.620
1985-09-03,0.007
1985-09-04,0.488
1985-09-05,0.003
1985-09-06,2.162
1985-09-07,10.866
1985-09-08,4.749
1985-09-09,2.546
1985-09-10,0.532
1985-09-11,0.016
1985-09-12,0.115
1985-09-13,0.185
1985-09-14,1.714
1985-09-15,9.785
1985-09-16,3.817
1985-09-17,2.075
1985-09-18,0.092
1985-09-19,1.487
1985-09-20,3.312
1985-09-21,3.246
1985-09-22,0.163
1985-09-23,0.976
1985-09-24,3.476
1985-09-25,5.827
1985-09-26,0.001
1985-09-27,3.219
1985-09-28,2.185
1985-09-29,0.023
1985-09-30,1.592
1985-10-01,0.234
1985-10-02,0.029
1985-10-03,1.311
1985-10-04,1.659
1985-10-05,0.000
1985-10-06,0.041
1985-10-07,4.056
1985-10-08,1.040
1985-10-09,4.017
1985-10-10,0.058
1985-10-11,0.564
1985-10-12,0.031
