ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PABE: T2_mean_12km,1.3084321299763446,1.4261363047849565,1.795415251746333,1.5771514739618455,0.7059784191435771,0.5262642061182046,0.45292254630769346,0.532648083158689,0.5106297193182253,0.466298455172558,0.8174362101058723,1.1580754869725298
PABE: T2_mean_4km,1.2357644583586138,1.3843604828848786,1.8492138984176862,1.7472706500761774,0.7432472636962927,0.5515743164692205,0.5934711087288992,0.6790401763938934,0.6412165540920983,0.5133104374676,0.7656718072835101,1.0244290204052962
PABE: Tmean_orig,0.81299959958867,0.738089324447265,0.8614326388105108,1.0184546402723558,0.7230892623698821,0.43556009835863096,0.30447901170168756,0.292773494538086,0.3186961149482803,0.5062542551520021,0.7236963882122014,0.8233072802015852
PABR: T2_mean_12km,2.165893698408411,2.563719467682339,3.6530986477010634,3.8553214293130793,2.3141844093180897,0.815632610776168,2.0280538098008836,1.2108374022926978,0.607957208339528,1.5511948058627636,1.1526326012971682,1.0756015769643352
PABR: T2_mean_4km,1.8271086589122958,2.223349938260233,3.151760866373242,3.455068940064609,2.275547383595578,1.2410581013662778,0.7284084360664173,0.7503037999155459,0.700277660930351,1.056951643892804,0.8709238032217612,0.7989312565911773
PABR: Tmean_orig,11.922854937197151,14.555602148567187,15.701444762383634,14.894256414954857,12.15693866118472,9.782473504837082,8.410204407879467,8.312837328853226,7.5537100311664815,7.790373857265224,9.816664605980835,11.282518364975724
PAFA: T2_mean_12km,8.509975248953074,6.338391952594351,5.30111755687267,4.016495202201467,2.800150765726222,2.289919949757466,2.3060242222405942,2.7910595332383092,2.973611529063072,3.981101673187893,6.284670765580285,6.800730120321758
PAFA: T2_mean_4km,5.762614740953065,4.712356308671641,2.2258581490468323,1.603963885629235,1.5497765702246564,2.0442552461099037,2.1485950981606217,1.9835179792251445,1.5494788817320022,2.1102891759009585,4.861941184155357,6.013656211181965
PAFA: Tmean_orig,9.149271196786357,7.999266419532281,3.749936353077849,3.1593001568224715,3.8378219867414076,4.45099187236663,3.905293640101678,2.0142674747676224,1.163807864986716,3.9652761520058615,9.259058791794706,9.027273390009714
PANC: T2_mean_12km,0.7765219608088582,0.9659533836745483,1.3635461881796027,3.096899812869587,2.372678661980072,1.1483585643608927,1.5202226276799955,1.710104764978243,1.6720381078086988,1.1242827662710688,1.456595141945826,1.2151653425314528
PANC: T2_mean_4km,0.8854536778928814,0.8505996931303342,1.357784713905486,3.1099310275530017,2.0536083810573365,1.9579961739066751,2.1791062733976387,2.292541597424975,2.0907590240867466,1.4216057863045535,1.7687340133989597,1.3620456592497177
PANC: Tmean_orig,6.061294216820068,6.1800079873908,6.274737620124711,4.9890956501292445,2.8271771691040755,1.6245653198513281,2.0040653336648875,2.063011517827411,1.8385417733163094,2.4591297610102436,4.050686336792084,5.768989416935044
