Time,precip_mm_ERA5_4km,FAIRBANKS INTL AP,month
1980-06-18,19.791,2.286,Jun
1980-06-19,4.885,0.000,Jun
1980-06-20,3.177,0.254,Jun
1980-06-21,3.116,1.270,Jun
1980-06-22,0.819,0.254,Jun
1980-06-23,0.333,0.000,Jun
1980-06-24,0.007,0.000,Jun
1980-06-25,0.541,0.000,Jun
1980-06-26,0.417,0.000,Jun
1980-06-27,0.150,4.318,Jun
1980-06-28,5.084,1.270,Jun
1980-06-29,1.005,0.254,Jun
1980-06-30,8.225,17.526,Jun
1980-07-01,0.004,0.000,Jul
1980-07-02,0.000,0.000,Jul
1980-07-03,0.401,0.000,Jul
1980-07-04,0.006,0.254,Jul
1980-07-05,0.008,0.000,Jul
1980-07-06,6.505,0.000,Jul
1980-07-07,1.958,2.794,Jul
1980-07-08,1.771,0.254,Jul
1980-07-09,16.294,0.000,Jul
1980-07-10,0.026,0.762,Jul
1980-07-11,0.772,0.254,Jul
1980-07-12,1.602,0.762,Jul
1980-07-13,9.669,1.016,Jul
1980-07-14,0.235,0.254,Jul
1980-07-15,18.803,2.286,Jul
1980-07-16,4.104,0.762,Jul
1980-07-17,0.000,0.000,Jul
1980-07-18,0.000,0.000,Jul
1980-07-19,1.260,1.778,Jul
1980-07-20,0.001,0.000,Jul
1980-07-21,0.001,0.000,Jul
1980-07-22,6.685,0.254,Jul
1980-07-23,0.013,0.000,Jul
1980-07-24,0.893,1.270,Jul
1980-07-25,6.329,6.096,Jul
1980-07-26,1.512,0.254,Jul
1980-07-27,17.462,13.462,Jul
1980-07-28,2.154,2.286,Jul
1980-07-29,5.202,0.254,Jul
1980-07-30,1.841,0.000,Jul
1980-07-31,0.007,0.508,Jul
1980-08-01,0.086,3.302,Aug
1980-08-02,0.168,0.000,Aug
1980-08-03,0.606,1.524,Aug
1980-08-04,0.004,0.762,Aug
1980-08-05,0.112,0.000,Aug
1980-08-06,0.454,0.000,Aug
1980-08-07,1.863,0.762,Aug
1980-08-08,0.170,0.254,Aug
1980-08-09,0.000,0.000,Aug
1980-08-10,0.005,0.000,Aug
1980-08-11,0.000,0.000,Aug
1980-08-12,0.000,3.048,Aug
1980-08-13,3.731,2.286,Aug
1980-08-14,0.046,1.524,Aug
1980-08-15,0.187,0.000,Aug
1980-08-16,5.183,7.112,Aug
1980-08-17,3.508,3.302,Aug
1980-08-18,2.459,4.064,Aug
1980-08-19,3.748,0.762,Aug
1980-08-20,4.579,0.254,Aug
1980-08-21,1.523,2.540,Aug
1980-08-22,0.000,5.080,Aug
1980-08-23,0.000,0.000,Aug
1980-08-24,0.000,0.000,Aug
1980-08-25,1.174,0.254,Aug
1980-08-26,0.597,0.762,Aug
1980-08-27,0.005,1.270,Aug
1980-08-28,0.018,0.508,Aug
1980-08-29,3.029,3.556,Aug
1980-08-30,0.000,0.000,Aug
1980-08-31,0.033,0.254,Aug
1980-09-01,3.451,2.286,Sep
1980-09-02,0.591,4.064,Sep
1980-09-03,0.009,2.032,Sep
1980-09-04,0.466,0.508,Sep
1980-09-05,3.004,0.254,Sep
1980-09-06,0.000,0.000,Sep
1980-09-07,0.000,0.000,Sep
1980-09-08,0.000,0.000,Sep
1980-09-09,0.000,0.000,Sep
1980-09-10,2.512,1.016,Sep
1980-09-11,0.007,0.000,Sep
1980-09-12,0.038,0.000,Sep
1980-09-13,5.684,0.000,Sep
1980-09-14,3.328,6.350,Sep
1980-09-15,2.255,1.524,Sep
1980-09-16,0.000,0.000,Sep
1980-09-17,0.000,0.000,Sep
1980-09-18,0.818,0.508,Sep
1980-09-19,1.532,0.508,Sep
1980-09-20,0.120,0.254,Sep
1980-09-21,0.000,0.000,Sep
1980-09-22,0.002,0.000,Sep
1980-09-23,0.076,0.254,Sep
1980-09-24,0.005,0.000,Sep
1980-09-25,0.000,0.000,Sep
1980-09-26,0.012,0.000,Sep
1980-09-27,0.160,0.000,Sep
1980-09-28,0.009,0.000,Sep
1980-09-29,0.000,0.000,Sep
1980-09-30,1.246,0.000,Sep
1980-10-01,0.176,0.000,Oct
1980-10-02,0.921,0.000,Oct
1980-10-03,0.235,0.254,Oct
1980-10-04,0.879,0.762,Oct
1980-10-05,0.742,0.254,Oct
1980-10-06,0.413,0.000,Oct
1980-10-07,0.968,0.508,Oct
1980-10-08,6.813,1.778,Oct
1980-10-09,0.364,0.762,Oct
1980-10-10,2.427,0.254,Oct
1980-10-11,0.263,0.254,Oct
1980-10-12,0.000,0.254,Oct
1980-10-13,0.000,0.254,Oct
1980-10-14,0.311,0.254,Oct
1980-10-15,6.429,0.254,Oct
1980-10-16,0.008,0.508,Oct
1980-10-17,0.005,0.000,Oct
1980-10-18,0.024,0.000,Oct
1980-10-19,0.034,0.000,Oct
1980-10-20,0.010,0.000,Oct
1980-10-21,0.004,0.000,Oct
1980-10-22,0.000,0.000,Oct
1980-10-23,0.045,0.000,Oct
1980-10-24,0.134,0.000,Oct
1980-10-25,0.028,0.000,Oct
1980-10-26,0.056,0.000,Oct
1980-10-27,0.000,0.000,Oct
1980-10-28,0.601,2.286,Oct
1980-10-29,2.007,2.540,Oct
1980-10-30,0.087,0.254,Oct
1980-10-31,0.000,0.000,Oct
1980-11-01,0.000,0.254,Nov
1980-11-02,0.000,0.000,Nov
1980-11-03,0.093,0.254,Nov
1980-11-04,1.349,0.254,Nov
1980-11-05,1.062,0.254,Nov
1980-11-06,0.184,3.048,Nov
1980-11-07,2.522,2.032,Nov
1980-11-08,0.962,1.524,Nov
1980-11-09,0.024,0.254,Nov
1980-11-10,0.000,0.000,Nov
1980-11-11,0.000,0.000,Nov
1980-11-12,0.048,0.000,Nov
1980-11-13,0.011,0.000,Nov
1980-11-14,0.784,0.000,Nov
1980-11-15,0.025,0.000,Nov
1980-11-16,2.777,2.540,Nov
1980-11-17,0.951,0.254,Nov
1980-11-18,0.000,0.254,Nov
1980-11-19,0.000,0.000,Nov
1980-11-20,0.672,0.254,Nov
1980-11-21,0.470,1.778,Nov
1980-11-22,0.002,0.000,Nov
1980-11-23,0.001,0.000,Nov
1980-11-24,0.044,0.000,Nov
1980-11-25,0.008,0.000,Nov
1980-11-26,0.001,0.000,Nov
1980-11-27,0.848,3.810,Nov
1980-11-28,1.287,1.016,Nov
1980-11-29,0.357,1.016,Nov
1980-11-30,0.001,0.000,Nov
1980-12-01,0.000,0.000,Dec
1980-12-02,0.000,0.000,Dec
1980-12-03,0.000,0.762,Dec
1980-12-04,0.653,1.016,Dec
1980-12-05,0.334,0.508,Dec
1980-12-06,0.072,0.254,Dec
1980-12-07,0.000,0.254,Dec
1980-12-08,0.000,0.000,Dec
1980-12-09,0.000,0.000,Dec
1980-12-10,0.012,0.000,Dec
1980-12-11,0.016,0.000,Dec
1980-12-12,0.003,0.000,Dec
1980-12-13,2.361,4.318,Dec
1980-12-14,0.653,1.270,Dec
1980-12-15,0.191,0.254,Dec
1980-12-16,0.176,0.254,Dec
1980-12-17,0.001,0.000,Dec
1980-12-18,0.000,0.000,Dec
1980-12-19,0.000,0.000,Dec
1980-12-20,0.000,0.000,Dec
1980-12-21,0.000,0.000,Dec
1980-12-22,0.000,0.000,Dec
1980-12-23,0.000,0.000,Dec
1980-12-24,0.000,0.000,Dec
1980-12-25,0.000,0.000,Dec
1980-12-26,0.000,0.000,Dec
1980-12-27,0.000,0.000,Dec
1980-12-28,0.000,0.000,Dec
1980-12-29,0.000,0.000,Dec
1980-12-30,0.000,0.000,Dec
1980-12-31,2.269,0.254,Dec
1981-01-01,0.239,0.000,Jan
1981-01-02,0.930,0.000,Jan
1981-01-03,0.052,0.254,Jan
1981-01-04,0.002,0.000,Jan
1981-01-05,0.013,0.254,Jan
1981-01-06,0.007,0.000,Jan
1981-01-07,0.498,0.000,Jan
1981-01-08,0.108,0.000,Jan
1981-01-09,0.001,0.000,Jan
1981-01-10,0.006,0.000,Jan
1981-01-11,0.001,0.000,Jan
1981-01-12,0.061,0.000,Jan
1981-01-13,0.329,0.000,Jan
1981-01-14,1.972,0.000,Jan
1981-01-15,0.157,0.000,Jan
1981-01-16,0.219,0.000,Jan
1981-01-17,0.020,0.000,Jan
1981-01-18,0.445,0.000,Jan
1981-01-19,3.164,0.254,Jan
1981-01-20,0.010,0.000,Jan
1981-01-21,0.540,1.778,Jan
1981-01-22,0.060,0.254,Jan
1981-01-23,0.261,0.000,Jan
1981-01-24,0.441,0.000,Jan
1981-01-25,0.001,0.000,Jan
1981-01-26,0.040,2.540,Jan
1981-01-27,0.364,3.048,Jan
1981-01-28,0.160,0.254,Jan
1981-01-29,0.000,0.000,Jan
1981-01-30,0.942,0.000,Jan
1981-01-31,0.290,0.254,Jan
1981-02-01,0.283,0.000,Feb
1981-02-02,0.433,0.000,Feb
1981-02-03,0.065,0.000,Feb
1981-02-04,1.443,2.794,Feb
1981-02-05,0.188,0.000,Feb
1981-02-06,4.397,5.080,Feb
1981-02-07,0.110,0.254,Feb
1981-02-08,0.009,0.000,Feb
1981-02-09,3.240,3.048,Feb
1981-02-10,10.653,7.874,Feb
1981-02-11,0.333,0.254,Feb
1981-02-12,0.000,0.000,Feb
1981-02-13,0.012,0.000,Feb
1981-02-14,0.002,0.254,Feb
1981-02-15,0.080,0.254,Feb
1981-02-16,0.158,0.254,Feb
1981-02-17,0.018,0.254,Feb
1981-02-18,0.000,0.000,Feb
1981-02-19,0.005,0.000,Feb
1981-02-20,0.021,0.254,Feb
1981-02-21,0.864,0.508,Feb
1981-02-22,0.108,0.000,Feb
1981-02-23,0.093,0.254,Feb
1981-02-24,0.112,0.254,Feb
1981-02-25,0.255,0.000,Feb
1981-02-26,0.078,0.000,Feb
1981-02-27,0.119,0.000,Feb
1981-02-28,0.016,0.000,Feb
1981-03-01,0.029,0.000,Mar
1981-03-02,0.795,0.254,Mar
1981-03-03,0.905,1.016,Mar
1981-03-04,0.160,0.254,Mar
1981-03-05,0.008,0.000,Mar
1981-03-06,0.008,0.000,Mar
1981-03-07,0.000,0.000,Mar
1981-03-08,0.000,0.000,Mar
1981-03-09,0.020,0.000,Mar
1981-03-10,0.086,0.000,Mar
1981-03-11,0.084,0.000,Mar
1981-03-12,0.002,0.000,Mar
1981-03-13,0.007,0.000,Mar
1981-03-14,0.029,0.000,Mar
1981-03-15,0.045,0.000,Mar
1981-03-16,0.152,0.000,Mar
1981-03-17,0.001,0.000,Mar
1981-03-18,0.147,0.000,Mar
1981-03-19,0.345,0.254,Mar
1981-03-20,0.066,0.000,Mar
1981-03-21,0.031,0.000,Mar
1981-03-22,0.000,0.000,Mar
1981-03-23,0.009,0.000,Mar
1981-03-24,1.921,0.000,Mar
1981-03-25,0.107,0.000,Mar
1981-03-26,0.070,0.000,Mar
1981-03-27,0.710,0.000,Mar
1981-03-28,0.040,0.000,Mar
1981-03-29,0.000,0.000,Mar
1981-03-30,0.008,0.254,Mar
1981-03-31,1.422,0.762,Mar
1981-04-01,0.170,0.254,Apr
1981-04-02,0.155,0.254,Apr
1981-04-03,0.216,0.254,Apr
1981-04-04,0.321,0.254,Apr
1981-04-05,0.680,0.254,Apr
1981-04-06,0.030,0.000,Apr
1981-04-07,0.004,0.254,Apr
1981-04-08,6.281,3.556,Apr
1981-04-09,0.000,0.000,Apr
1981-04-10,0.003,0.000,Apr
1981-04-11,0.000,0.000,Apr
1981-04-12,0.000,0.000,Apr
1981-04-13,0.000,0.000,Apr
1981-04-14,0.000,0.000,Apr
1981-04-15,0.000,0.000,Apr
1981-04-16,0.000,0.000,Apr
1981-04-17,0.000,0.000,Apr
1981-04-18,0.000,0.000,Apr
1981-04-19,0.036,0.000,Apr
1981-04-20,0.074,0.000,Apr
1981-04-21,0.004,0.000,Apr
1981-04-22,0.116,0.000,Apr
1981-04-23,0.000,0.254,Apr
1981-04-24,0.004,0.000,Apr
1981-04-25,0.039,0.254,Apr
1981-04-26,0.400,3.048,Apr
1981-04-27,0.006,0.000,Apr
1981-04-28,1.883,1.270,Apr
1981-04-29,0.303,0.254,Apr
1981-04-30,0.358,0.254,Apr
1981-05-01,0.232,0.508,May
1981-05-02,0.045,0.000,May
1981-05-03,0.082,0.000,May
1981-05-04,0.024,0.000,May
1981-05-05,0.000,0.000,May
1981-05-06,0.000,0.000,May
1981-05-07,0.000,0.000,May
1981-05-08,0.000,0.000,May
1981-05-09,0.020,0.254,May
1981-05-10,2.983,0.508,May
1981-05-11,2.465,0.254,May
1981-05-12,0.000,0.000,May
1981-05-13,0.000,0.000,May
1981-05-14,0.000,0.000,May
1981-05-15,1.575,0.000,May
1981-05-16,0.098,0.000,May
1981-05-17,0.378,0.254,May
1981-05-18,0.234,0.000,May
1981-05-19,0.445,0.000,May
1981-05-20,0.069,0.254,May
1981-05-21,0.205,0.000,May
1981-05-22,0.004,0.000,May
1981-05-23,1.651,0.000,May
1981-05-24,0.002,0.000,May
1981-05-25,13.642,0.254,May
1981-05-26,0.179,0.000,May
1981-05-27,1.935,0.000,May
1981-05-28,13.200,5.588,May
1981-05-29,0.003,0.254,May
1981-05-30,0.388,0.254,May
1981-05-31,9.329,11.430,May
1981-06-01,4.336,1.016,Jun
1981-06-02,0.015,0.254,Jun
1981-06-03,0.828,0.254,Jun
1981-06-04,0.628,0.254,Jun
1981-06-05,0.004,1.016,Jun
1981-06-06,0.000,1.270,Jun
1981-06-07,0.000,0.000,Jun
1981-06-08,7.802,3.556,Jun
1981-06-09,1.327,0.000,Jun
