Time,precip_mm_ERA5_12km
1985-01-01,0.762
1985-01-02,2.282
1985-01-03,0.047
1985-01-04,0.001
1985-01-05,1.177
1985-01-06,0.064
1985-01-07,0.011
1985-01-08,0.003
1985-01-09,0.047
1985-01-10,0.170
1985-01-11,0.063
1985-01-12,0.226
1985-01-13,0.086
1985-01-14,0.064
1985-01-15,0.666
1985-01-16,0.615
1985-01-17,2.496
1985-01-18,0.075
1985-01-19,0.131
1985-01-20,0.039
1985-01-21,2.173
1985-01-22,0.054
1985-01-23,0.326
1985-01-24,0.741
1985-01-25,0.326
1985-01-26,0.059
1985-01-27,0.004
1985-01-28,2.063
1985-01-29,0.075
1985-01-30,0.961
1985-01-31,2.470
1985-02-01,0.453
1985-02-02,0.107
1985-02-03,3.033
1985-02-04,3.068
1985-02-05,3.397
1985-02-06,0.079
1985-02-07,0.217
1985-02-08,1.693
1985-02-09,0.268
1985-02-10,0.004
1985-02-11,0.000
1985-02-12,0.000
1985-02-13,0.000
1985-02-14,0.215
1985-02-15,2.039
1985-02-16,0.000
1985-02-17,0.003
1985-02-18,0.000
1985-02-19,0.057
1985-02-20,0.852
1985-02-21,0.000
1985-02-22,0.000
1985-02-23,0.000
1985-02-24,0.000
1985-02-25,0.012
1985-02-26,1.295
1985-02-27,2.245
1985-02-28,0.283
1985-03-01,0.007
1985-03-02,2.358
1985-03-03,0.762
1985-03-04,1.376
1985-03-05,0.426
1985-03-06,6.567
1985-03-07,2.667
1985-03-08,0.119
1985-03-09,1.160
1985-03-10,0.236
1985-03-11,0.714
1985-03-12,1.102
1985-03-13,0.017
1985-03-14,0.030
1985-03-15,0.027
1985-03-16,0.479
1985-03-17,0.042
1985-03-18,0.010
1985-03-19,0.013
1985-03-20,0.103
1985-03-21,0.000
1985-03-22,0.003
1985-03-23,0.000
1985-03-24,0.134
1985-03-25,0.150
1985-03-26,0.178
1985-03-27,0.176
1985-03-28,0.124
1985-03-29,0.021
1985-03-30,1.586
1985-03-31,0.133
1985-04-01,0.090
