time,longitude,latitude,v10
1980-01-01 00:00:00,210.0,61.25,-1.773521701235938
1980-01-01 01:00:00,210.0,61.25,-1.6739476792293877
1980-01-01 02:00:00,210.0,61.25,-1.7726246379746178
1980-01-01 03:00:00,210.0,61.25,-1.8013306623368666
1980-01-01 04:00:00,210.0,61.25,-1.8461838254028804
1980-01-01 05:00:00,210.0,61.25,-1.7394332973057678
1980-01-01 06:00:00,210.0,61.25,-1.782492333849141
1980-01-01 07:00:00,210.0,61.25,-1.8659192171519263
1980-01-01 08:00:00,210.0,61.25,-1.9296107087056658
1980-01-01 09:00:00,210.0,61.25,-1.9511402269773523
1980-01-01 10:00:00,210.0,61.25,-2.0435377428933403
1980-01-01 11:00:00,210.0,61.25,-2.4310690717837
1980-01-01 12:00:00,210.0,61.25,-2.385318845456365
1980-01-01 13:00:00,210.0,61.25,-2.2364063440772
1980-01-01 14:00:00,210.0,61.25,-2.2408916603838014
1980-01-01 15:00:00,210.0,61.25,-2.222053331896076
1980-01-01 16:00:00,210.0,61.25,-2.1897590544885457
1980-01-01 17:00:00,210.0,61.25,-2.1843766749206237
1980-01-01 18:00:00,210.0,61.25,-2.1798913586140225
1980-01-01 19:00:00,210.0,61.25,-2.1960384973177876
1980-01-01 20:00:00,210.0,61.25,-2.1682295362168587
1980-01-01 21:00:00,210.0,61.25,-2.122479309889525
1980-01-01 22:00:00,210.0,61.25,-2.299200772369619
1980-01-01 23:00:00,210.0,61.25,-2.3449509986969526
1980-01-02 00:00:00,210.0,61.25,-2.5647314977204205
1980-01-02 01:00:00,210.0,61.25,-2.573702130333623
1980-01-02 02:00:00,210.0,61.25,-2.6095846607864344
1980-01-02 03:00:00,210.0,61.25,-2.527951904006289
1980-01-02 04:00:00,210.0,61.25,-2.4893781837695172
1980-01-02 05:00:00,210.0,61.25,-2.3781423393658034
1980-01-02 06:00:00,210.0,61.25,-2.2068032564536306
1980-01-02 07:00:00,210.0,61.25,-2.121582246628204
1980-01-02 08:00:00,210.0,61.25,-1.9376842780575483
1980-01-02 09:00:00,210.0,61.25,-1.8695074701972072
1980-01-02 10:00:00,210.0,61.25,-1.9968904533046865
1980-01-02 11:00:00,210.0,61.25,-2.109920424231041
1980-01-02 12:00:00,210.0,61.25,-2.1673324729555388
1980-01-02 13:00:00,210.0,61.25,-2.1467000179451725
1980-01-02 14:00:00,210.0,61.25,-2.0812143998687924
1980-01-02 15:00:00,210.0,61.25,-1.831830813221756
1980-01-02 16:00:00,210.0,61.25,-1.8058159786434678
1980-01-02 17:00:00,210.0,61.25,-1.9062870639113385
1980-01-02 18:00:00,210.0,61.25,-1.9619049861131959
1980-01-02 19:00:00,210.0,61.25,-1.9493461004547117
1980-01-02 20:00:00,210.0,61.25,-1.87847810281041
1980-01-02 21:00:00,210.0,61.25,-1.799536535814226
1980-01-02 22:00:00,210.0,61.25,-2.123376373150845
1980-01-02 23:00:00,210.0,61.25,-2.0632731346423867
1980-01-03 00:00:00,210.0,61.25,-1.9224342026151036
1980-01-03 01:00:00,210.0,61.25,-1.9098753169566198
1980-01-03 02:00:00,210.0,61.25,-1.934096025012267
1980-01-03 03:00:00,210.0,61.25,-1.9044929373886983
1980-01-03 04:00:00,210.0,61.25,-1.8587427110613641
1980-01-03 05:00:00,210.0,61.25,-1.7475068666576499
1980-01-03 06:00:00,210.0,61.25,-1.7125213994661592
1980-01-03 07:00:00,210.0,61.25,-1.7232861586020027
1980-01-03 08:00:00,210.0,61.25,-1.7385362340444475
1980-01-03 09:00:00,210.0,61.25,-1.7941541562463044
1980-01-03 10:00:00,210.0,61.25,-1.711624336204839
1980-01-03 11:00:00,210.0,61.25,-1.741227423828408
1980-01-03 12:00:00,210.0,61.25,-1.5322116839407842
1980-01-03 13:00:00,210.0,61.25,-1.4254611558436714
1980-01-03 14:00:00,210.0,61.25,-1.3698432336418145
1980-01-03 15:00:00,210.0,61.25,-1.0343415739080317
1980-01-03 16:00:00,210.0,61.25,-0.9419440579920433
1980-01-03 17:00:00,210.0,61.25,-0.9993561067165408
1980-01-03 18:00:00,210.0,61.25,-0.9419440579920433
1980-01-03 19:00:00,210.0,61.25,-0.8387817829402118
1980-01-03 20:00:00,210.0,61.25,-0.5463391597498022
1980-01-03 21:00:00,210.0,61.25,-0.2278817019811047
1980-01-03 22:00:00,210.0,61.25,0.008942999007447827
1980-01-03 23:00:00,210.0,61.25,-0.14445481867831916
1980-01-04 00:00:00,210.0,61.25,-0.3193821546357727
1980-01-04 01:00:00,210.0,61.25,-0.23595527133298722
1980-01-04 02:00:00,210.0,61.25,0.16323787995453504
1980-01-04 03:00:00,210.0,61.25,0.15875256364793366
1980-01-04 04:00:00,210.0,61.25,-0.24761709373015073
1980-01-04 05:00:00,210.0,61.25,0.16682613299981613
1980-01-04 06:00:00,210.0,61.25,0.010737125530088376
1980-01-04 07:00:00,210.0,61.25,-0.2834996241829617
