Time,precip_mm_ERA5_12km,JUNEAU AIRPORT,month
1970-01-01,2.947,6.096,Jan
1970-01-02,2.410,1.778,Jan
1970-01-03,0.000,0.000,Jan
1970-01-04,0.075,0.000,Jan
1970-01-05,0.496,0.254,Jan
1970-01-06,4.369,1.778,Jan
1970-01-07,1.788,5.080,Jan
1970-01-08,0.004,0.000,Jan
1970-01-09,0.012,0.000,Jan
1970-01-10,0.002,0.000,Jan
1970-01-11,0.000,0.000,Jan
1970-01-12,0.000,0.000,Jan
1970-01-13,0.011,0.000,Jan
1970-01-14,0.025,0.000,Jan
1970-01-15,0.006,0.508,Jan
1970-01-16,3.218,0.762,Jan
1970-01-17,4.305,0.254,Jan
1970-01-18,0.050,3.810,Jan
1970-01-19,1.471,0.254,Jan
1970-01-20,4.715,1.778,Jan
1970-01-21,7.182,0.762,Jan
1970-01-22,0.781,2.032,Jan
1970-01-23,0.381,0.254,Jan
1970-01-24,2.391,0.254,Jan
1970-01-25,4.311,0.762,Jan
1970-01-26,7.204,1.016,Jan
1970-01-27,3.980,1.016,Jan
1970-01-28,11.659,4.826,Jan
1970-01-29,1.381,11.938,Jan
1970-01-30,8.020,6.858,Jan
1970-01-31,30.664,8.636,Jan
1970-02-01,3.414,2.032,Feb
1970-02-02,23.248,15.240,Feb
1970-02-03,4.900,0.508,Feb
1970-02-04,11.637,14.732,Feb
1970-02-05,13.007,4.064,Feb
1970-02-06,3.381,0.254,Feb
1970-02-07,14.864,1.016,Feb
1970-02-08,0.006,0.000,Feb
1970-02-09,0.867,0.000,Feb
1970-02-10,0.005,0.000,Feb
1970-02-11,0.000,0.000,Feb
1970-02-12,0.000,0.000,Feb
1970-02-13,0.000,0.000,Feb
1970-02-14,0.063,0.508,Feb
1970-02-15,2.266,1.270,Feb
1970-02-16,0.000,0.000,Feb
1970-02-17,1.152,0.000,Feb
1970-02-18,20.132,7.874,Feb
1970-02-19,50.768,26.670,Feb
1970-02-20,4.128,3.302,Feb
1970-02-21,5.974,1.778,Feb
1970-02-22,2.788,0.254,Feb
1970-02-23,1.010,2.794,Feb
1970-02-24,12.720,3.302,Feb
1970-02-25,0.039,0.254,Feb
1970-02-26,0.007,0.000,Feb
1970-02-27,0.000,0.000,Feb
1970-02-28,0.000,0.000,Feb
1970-03-01,0.000,0.000,Mar
1970-03-02,0.009,0.000,Mar
1970-03-03,0.157,0.254,Mar
1970-03-04,0.010,0.254,Mar
1970-03-05,2.373,1.778,Mar
1970-03-06,0.552,0.254,Mar
1970-03-07,27.138,7.366,Mar
1970-03-08,0.175,0.254,Mar
1970-03-09,0.006,0.254,Mar
1970-03-10,0.000,0.000,Mar
1970-03-11,0.000,0.000,Mar
1970-03-12,1.279,0.254,Mar
1970-03-13,13.563,1.778,Mar
1970-03-14,3.019,2.540,Mar
1970-03-15,7.430,1.778,Mar
1970-03-16,9.946,0.762,Mar
1970-03-17,5.916,2.794,Mar
1970-03-18,31.254,33.528,Mar
1970-03-19,0.007,0.254,Mar
1970-03-20,0.069,0.254,Mar
1970-03-21,9.114,10.160,Mar
1970-03-22,2.269,3.048,Mar
1970-03-23,13.436,4.318,Mar
1970-03-24,7.369,7.366,Mar
1970-03-25,3.505,1.016,Mar
1970-03-26,24.226,12.192,Mar
1970-03-27,3.265,1.778,Mar
1970-03-28,5.553,6.858,Mar
1970-03-29,0.009,0.254,Mar
1970-03-30,1.682,3.048,Mar
1970-03-31,1.098,1.016,Mar
1970-04-01,0.044,0.254,Apr
1970-04-02,1.255,2.286,Apr
1970-04-03,4.700,11.938,Apr
1970-04-04,11.375,3.302,Apr
1970-04-05,10.132,12.192,Apr
1970-04-06,0.756,0.254,Apr
1970-04-07,0.400,4.064,Apr
1970-04-08,5.768,3.810,Apr
1970-04-09,0.243,0.254,Apr
1970-04-10,7.733,4.318,Apr
1970-04-11,3.075,0.762,Apr
1970-04-12,0.035,0.254,Apr
1970-04-13,0.036,0.000,Apr
1970-04-14,0.047,0.000,Apr
1970-04-15,0.002,0.000,Apr
1970-04-16,7.544,0.508,Apr
1970-04-17,1.017,6.096,Apr
1970-04-18,0.799,7.112,Apr
1970-04-19,0.077,0.762,Apr
1970-04-20,0.112,0.254,Apr
1970-04-21,11.745,3.810,Apr
1970-04-22,8.671,4.572,Apr
1970-04-23,7.141,6.858,Apr
1970-04-24,2.634,0.254,Apr
1970-04-25,0.020,0.000,Apr
1970-04-26,0.000,0.254,Apr
1970-04-27,0.526,0.254,Apr
1970-04-28,4.997,10.668,Apr
1970-04-29,2.604,1.270,Apr
1970-04-30,12.945,8.890,Apr
1970-05-01,17.511,6.604,May
1970-05-02,7.217,1.016,May
1970-05-03,0.014,0.254,May
1970-05-04,5.673,7.874,May
1970-05-05,21.923,8.382,May
1970-05-06,2.579,1.270,May
1970-05-07,4.774,6.096,May
1970-05-08,4.141,3.810,May
1970-05-09,0.743,4.318,May
1970-05-10,0.041,0.762,May
1970-05-11,0.000,0.000,May
1970-05-12,0.207,0.000,May
1970-05-13,5.871,2.286,May
1970-05-14,5.346,4.826,May
1970-05-15,0.026,0.254,May
1970-05-16,6.560,12.954,May
1970-05-17,2.037,2.032,May
1970-05-18,0.002,0.762,May
1970-05-19,0.265,0.000,May
1970-05-20,0.988,0.254,May
1970-05-21,7.381,1.270,May
1970-05-22,15.343,15.240,May
1970-05-23,0.490,3.048,May
1970-05-24,6.601,11.430,May
1970-05-25,1.293,0.254,May
1970-05-26,0.220,0.254,May
1970-05-27,0.051,0.254,May
1970-05-28,0.007,0.254,May
1970-05-29,0.030,0.508,May
1970-05-30,1.791,0.254,May
1970-05-31,0.928,4.572,May
1970-06-01,3.810,3.556,Jun
1970-06-02,15.252,5.842,Jun
1970-06-03,38.056,16.002,Jun
1970-06-04,17.804,2.540,Jun
1970-06-05,0.000,0.000,Jun
1970-06-06,0.215,0.254,Jun
1970-06-07,1.382,6.858,Jun
1970-06-08,4.098,0.762,Jun
1970-06-09,0.547,0.000,Jun
1970-06-10,4.295,0.762,Jun
1970-06-11,5.445,0.254,Jun
1970-06-12,0.044,0.508,Jun
1970-06-13,4.053,8.128,Jun
1970-06-14,0.002,0.000,Jun
1970-06-15,0.019,0.254,Jun
1970-06-16,0.154,0.000,Jun
1970-06-17,0.134,0.000,Jun
1970-06-18,0.010,0.254,Jun
1970-06-19,0.010,0.254,Jun
1970-06-20,2.648,2.032,Jun
1970-06-21,1.275,5.588,Jun
1970-06-22,0.174,1.016,Jun
1970-06-23,0.524,4.318,Jun
1970-06-24,9.292,9.398,Jun
1970-06-25,4.827,4.318,Jun
1970-06-26,0.517,1.270,Jun
1970-06-27,0.000,0.254,Jun
1970-06-28,0.001,1.016,Jun
1970-06-29,0.000,1.524,Jun
1970-06-30,0.382,0.254,Jun
1970-07-01,1.604,0.254,Jul
1970-07-02,1.225,0.254,Jul
1970-07-03,8.389,8.890,Jul
1970-07-04,23.601,9.652,Jul
1970-07-05,2.835,12.954,Jul
1970-07-06,11.200,6.858,Jul
1970-07-07,21.392,9.398,Jul
1970-07-08,1.643,4.572,Jul
1970-07-09,0.008,0.254,Jul
1970-07-10,0.029,10.160,Jul
1970-07-11,0.026,0.254,Jul
1970-07-12,0.000,0.254,Jul
1970-07-13,0.107,2.540,Jul
1970-07-14,9.402,12.954,Jul
1970-07-15,0.115,0.508,Jul
1970-07-16,0.045,1.016,Jul
1970-07-17,3.096,5.080,Jul
1970-07-18,0.000,0.254,Jul
1970-07-19,6.099,12.700,Jul
1970-07-20,0.549,0.254,Jul
1970-07-21,0.034,0.254,Jul
1970-07-22,3.369,6.350,Jul
1970-07-23,2.140,14.224,Jul
1970-07-24,0.074,7.874,Jul
1970-07-25,0.395,0.000,Jul
1970-07-26,0.000,0.000,Jul
1970-07-27,0.000,0.000,Jul
1970-07-28,0.000,0.000,Jul
1970-07-29,0.128,0.254,Jul
1970-07-30,2.072,1.524,Jul
1970-07-31,0.537,0.254,Jul
1970-08-01,0.125,21.336,Aug
1970-08-02,0.015,0.254,Aug
1970-08-03,0.749,2.032,Aug
1970-08-04,0.480,0.254,Aug
1970-08-05,0.000,1.016,Aug
1970-08-06,0.039,7.366,Aug
1970-08-07,3.799,6.604,Aug
1970-08-08,0.533,4.064,Aug
1970-08-09,17.810,7.620,Aug
1970-08-10,11.124,6.350,Aug
1970-08-11,5.536,8.382,Aug
1970-08-12,6.873,0.254,Aug
1970-08-13,1.176,0.762,Aug
1970-08-14,41.633,13.970,Aug
1970-08-15,23.512,22.352,Aug
1970-08-16,0.553,8.636,Aug
1970-08-17,3.218,2.794,Aug
1970-08-18,8.232,23.876,Aug
1970-08-19,7.901,10.160,Aug
1970-08-20,1.106,0.508,Aug
1970-08-21,8.524,5.842,Aug
1970-08-22,0.349,2.540,Aug
1970-08-23,0.670,0.254,Aug
1970-08-24,0.028,0.000,Aug
1970-08-25,0.000,0.000,Aug
1970-08-26,0.000,0.000,Aug
1970-08-27,0.000,0.000,Aug
1970-08-28,0.000,0.000,Aug
1970-08-29,24.096,11.430,Aug
1970-08-30,8.989,1.524,Aug
1970-08-31,7.222,20.066,Aug
1970-09-01,9.719,16.002,Sep
1970-09-02,15.441,11.938,Sep
1970-09-03,1.329,0.762,Sep
1970-09-04,11.822,10.668,Sep
1970-09-05,28.426,17.272,Sep
1970-09-06,0.225,5.588,Sep
1970-09-07,0.022,0.508,Sep
1970-09-08,14.414,12.192,Sep
1970-09-09,18.503,10.668,Sep
1970-09-10,0.000,0.000,Sep
1970-09-11,0.000,0.000,Sep
1970-09-12,0.000,0.000,Sep
1970-09-13,0.027,0.254,Sep
1970-09-14,0.960,0.254,Sep
1970-09-15,0.481,1.270,Sep
1970-09-16,1.691,5.334,Sep
1970-09-17,2.023,1.016,Sep
1970-09-18,13.410,11.684,Sep
1970-09-19,1.247,7.366,Sep
1970-09-20,5.036,8.636,Sep
1970-09-21,0.226,4.826,Sep
1970-09-22,6.343,1.778,Sep
1970-09-23,0.000,0.000,Sep
1970-09-24,6.293,3.556,Sep
1970-09-25,5.239,7.620,Sep
1970-09-26,11.952,14.478,Sep
1970-09-27,43.019,11.684,Sep
