Time,rain_ERA5_4km,FAIRBANKS INTL AP,month
2018-05-02,0.14132811,0.025400000000000002,May
2018-05-03,0.0017502593,0.0,May
2018-05-04,0.014092916,0.0,May
2018-05-05,0.0041292147,0.0,May
2018-05-06,0.041700114,0.0,May
2018-05-07,0.010465615,0.0,May
2018-05-08,0.0,0.0,May
2018-05-09,0.0,0.0,May
2018-05-10,0.055588514,0.0,May
2018-05-11,0.08524939,0.025400000000000002,May
2018-05-12,0.002060563,0.025400000000000002,May
2018-05-13,0.051399615,0.0,May
2018-05-14,0.14915174,0.1778,May
2018-05-15,0.55008227,0.10160000000000001,May
2018-05-16,0.00013283368,0.025400000000000002,May
2018-05-17,0.0006809837,0.0,May
2018-05-18,0.102059044,0.025400000000000002,May
2018-05-19,0.02998819,0.025400000000000002,May
2018-05-20,0.31754664,0.127,May
2018-05-21,0.09846544,0.8128000000000001,May
2018-05-22,0.010775212,0.050800000000000005,May
2018-05-23,0.0013821177,0.10160000000000001,May
2018-05-24,0.27808708,1.016,May
2018-05-25,0.021669248,0.025400000000000002,May
2018-05-26,0.014877875,0.127,May
2018-05-27,0.0,0.0,May
2018-05-28,3.0498923e-05,0.0,May
2018-05-29,0.2063094,0.0,May
2018-05-30,0.27433497,0.0,May
2018-05-31,0.45472646,0.025400000000000002,May
2018-06-01,0.28208998,0.050800000000000005,Jun
2018-06-02,0.03473695,0.0,Jun
2018-06-03,0.007473311,0.025400000000000002,Jun
2018-06-04,0.3194643,0.025400000000000002,Jun
2018-06-05,0.02093006,0.3556,Jun
2018-06-06,0.0,0.025400000000000002,Jun
2018-06-07,7.00783e-05,0.0,Jun
2018-06-08,0.0,0.127,Jun
2018-06-09,0.28106377,0.0,Jun
2018-06-10,0.15617888,0.20320000000000002,Jun
2018-06-11,0.0048050205,0.3302,Jun
2018-06-12,0.012203392,0.0,Jun
2018-06-13,0.0053581507,0.0,Jun
2018-06-14,0.20287271,0.050800000000000005,Jun
2018-06-15,0.02949304,0.025400000000000002,Jun
2018-06-16,0.18539025,0.025400000000000002,Jun
2018-06-17,0.18227844,0.050800000000000005,Jun
2018-06-18,0.13617505,0.025400000000000002,Jun
2018-06-19,0.07359006,0.025400000000000002,Jun
2018-06-20,0.0,0.0,Jun
2018-06-21,0.27123052,0.025400000000000002,Jun
2018-06-22,0.17955418,0.025400000000000002,Jun
2018-06-23,0.008612384,0.025400000000000002,Jun
2018-06-24,0.0,0.0,Jun
2018-06-25,0.00036696685,0.0,Jun
2018-06-26,0.07994397,0.025400000000000002,Jun
2018-06-27,0.13067093,0.0,Jun
2018-06-28,0.51431346,0.20320000000000002,Jun
2018-06-29,0.70246124,0.025400000000000002,Jun
2018-06-30,0.10914319,0.025400000000000002,Jun
2018-07-01,0.38597122,0.5842,Jul
2018-07-02,0.00030183792,0.025400000000000002,Jul
2018-07-03,0.0,0.0,Jul
2018-07-04,0.0,0.0,Jul
2018-07-05,0.08599377,0.4572,Jul
2018-07-06,0.0,0.0,Jul
2018-07-07,0.0,0.0,Jul
2018-07-08,0.17419003,0.025400000000000002,Jul
2018-07-09,0.0050468403,0.0,Jul
2018-07-10,0.024069374,0.0,Jul
2018-07-11,0.203404,0.8382000000000001,Jul
2018-07-12,0.00012762845,0.0,Jul
2018-07-13,0.0,0.0,Jul
2018-07-14,0.004735778,0.025400000000000002,Jul
2018-07-15,0.6403565,0.127,Jul
2018-07-16,0.02735567,0.025400000000000002,Jul
2018-07-17,0.39415753,0.0762,Jul
2018-07-18,1.5482825e-05,0.0,Jul
2018-07-19,0.021333164,0.025400000000000002,Jul
2018-07-20,0.012671019,0.0,Jul
2018-07-21,0.0,0.0,Jul
2018-07-22,0.0,0.0,Jul
2018-07-23,3.315957e-05,0.0,Jul
2018-07-24,0.0,0.0,Jul
2018-07-25,0.0,0.0,Jul
2018-07-26,0.0052951924,0.0,Jul
2018-07-27,0.07895217,0.4572,Jul
2018-07-28,0.08159848,0.0,Jul
2018-07-29,0.0,0.0,Jul
2018-07-30,0.0,0.0,Jul
2018-07-31,0.00014645695,0.0,Jul
2018-08-01,0.0115905255,0.025400000000000002,Aug
2018-08-02,0.25078744,0.025400000000000002,Aug
2018-08-03,0.014431437,0.0,Aug
2018-08-04,0.1186443,0.025400000000000002,Aug
2018-08-05,0.90228575,2.54,Aug
2018-08-06,0.4648521,1.2446,Aug
2018-08-07,0.0129937725,0.0,Aug
2018-08-08,9.999439e-06,0.1524,Aug
2018-08-09,0.00012780417,0.0,Aug
2018-08-10,0.001295128,0.0,Aug
2018-08-11,0.0013449746,0.025400000000000002,Aug
2018-08-12,0.12797783,0.0,Aug
2018-08-13,0.37899342,2.1336,Aug
2018-08-14,0.6085983,0.7365999999999999,Aug
2018-08-15,0.19746168,0.127,Aug
2018-08-16,0.022576744,0.0,Aug
2018-08-17,0.050144434,0.025400000000000002,Aug
2018-08-18,0.069936655,0.0,Aug
2018-08-19,0.044387642,0.025400000000000002,Aug
2018-08-20,0.03852902,0.025400000000000002,Aug
2018-08-21,0.09059092,0.3302,Aug
2018-08-22,0.02721581,0.20320000000000002,Aug
2018-08-23,0.22312863,0.1524,Aug
2018-08-24,0.8929448,1.3716000000000002,Aug
2018-08-25,0.06695461,0.025400000000000002,Aug
2018-08-26,0.3863834,0.4318,Aug
2018-08-27,0.23110096,0.2286,Aug
2018-08-28,0.5032316,0.025400000000000002,Aug
2018-08-29,0.0,0.0,Aug
2018-08-30,0.5669855,0.8889999999999999,Aug
2018-08-31,3.8584072e-05,0.0,Aug
2018-09-01,0.40202972,0.3302,Sep
2018-09-02,0.6758316,0.3556,Sep
2018-09-03,0.050858274,0.0,Sep
2018-09-04,0.030652508,0.0762,Sep
2018-09-05,0.008273584,0.025400000000000002,Sep
2018-09-06,0.078709364,0.025400000000000002,Sep
2018-09-07,0.021311412,0.0,Sep
2018-09-08,0.0,0.0,Sep
2018-09-09,0.00044627325,0.0,Sep
2018-09-10,0.0,0.0,Sep
2018-09-11,0.00011174808,0.0,Sep
2018-09-12,0.0033735055,0.025400000000000002,Sep
2018-09-13,0.0,0.0,Sep
2018-09-14,0.0,0.0,Sep
2018-09-15,0.0020828035,0.0,Sep
2018-09-16,0.23572844,0.127,Sep
2018-09-17,0.014474054,0.025400000000000002,Sep
2018-09-18,0.0054052803,0.127,Sep
2018-09-19,0.32891035,0.1524,Sep
2018-09-20,0.2313205,0.508,Sep
2018-09-21,0.5733529,1.0413999999999999,Sep
2018-09-22,0.2709279,1.1938,Sep
2018-09-23,0.53453803,0.48260000000000003,Sep
2018-09-24,0.23916298,0.127,Sep
2018-09-25,0.253074,0.20320000000000002,Sep
2018-09-26,0.06917256,0.0,Sep
2018-09-27,0.0,0.0,Sep
2018-09-28,0.0,0.0,Sep
2018-09-29,0.0,0.0,Sep
2018-09-30,0.0,0.0,Sep
2018-10-01,0.0,0.0,Oct
2018-10-02,0.0,0.0,Oct
2018-10-03,0.0,0.0,Oct
2018-10-04,0.0,0.0,Oct
2018-10-05,0.0,0.0,Oct
2018-10-06,0.0,0.0,Oct
2018-10-07,0.0,0.0,Oct
2018-10-08,0.0,0.0,Oct
2018-10-09,0.0,0.0,Oct
2018-10-10,0.18279426,0.127,Oct
2018-10-11,0.32309934,0.254,Oct
2018-10-12,0.15279831,0.0,Oct
2018-10-13,0.2567937,0.025400000000000002,Oct
2018-10-14,4.6859186e-05,0.0,Oct
2018-10-15,0.07941247,0.1524,Oct
2018-10-16,0.511199,0.3302,Oct
2018-10-17,0.0005549239,0.025400000000000002,Oct
2018-10-18,0.0017265832,0.0,Oct
2018-10-19,0.111540996,0.1778,Oct
2018-10-20,0.100093745,0.1524,Oct
2018-10-21,0.018920898,0.0,Oct
2018-10-22,0.0073674596,0.0,Oct
2018-10-23,0.13356784,0.050800000000000005,Oct
2018-10-24,0.01023836,0.0,Oct
2018-10-25,0.0050671734,0.0,Oct
2018-10-26,0.0012783501,0.025400000000000002,Oct
2018-10-27,1.9177174e-05,0.025400000000000002,Oct
2018-10-28,0.122944,0.050800000000000005,Oct
2018-10-29,0.00047040978,0.025400000000000002,Oct
2018-10-30,0.0,0.0,Oct
2018-10-31,0.0,0.0,Oct
2018-11-01,0.0,0.0,Nov
2018-11-02,0.0,0.0,Nov
2018-11-03,0.0,0.0,Nov
2018-11-04,0.0,0.0,Nov
2018-11-05,0.0,0.0,Nov
2018-11-06,0.0,0.0,Nov
2018-11-07,3.831764e-05,0.0,Nov
2018-11-08,0.055595417,0.025400000000000002,Nov
2018-11-09,0.018164665,0.0762,Nov
2018-11-10,0.035078406,0.025400000000000002,Nov
2018-11-11,0.033381358,0.127,Nov
2018-11-12,0.2964076,0.127,Nov
2018-11-13,0.3645232,0.8128000000000001,Nov
2018-11-14,0.046824176,0.20320000000000002,Nov
2018-11-15,0.0,0.0,Nov
2018-11-16,0.00015525373,0.0,Nov
2018-11-17,0.0003215148,0.0,Nov
2018-11-18,0.0019303138,0.0,Nov
2018-11-19,0.377771,0.025400000000000002,Nov
2018-11-20,0.08833212,0.025400000000000002,Nov
2018-11-21,0.0028245978,0.025400000000000002,Nov
2018-11-22,0.028203556,0.1524,Nov
2018-11-23,0.05924654,0.20320000000000002,Nov
2018-11-24,0.00027061455,0.025400000000000002,Nov
2018-11-25,0.04291533,0.0,Nov
2018-11-26,0.0058989786,0.0,Nov
2018-11-27,2.4289824e-05,0.0,Nov
2018-11-28,0.0006816392,0.025400000000000002,Nov
2018-11-29,0.0031714179,0.025400000000000002,Nov
